,o_cz,o_cz_name,o_state_name
3297450,12301,Traverse City,Michigan
3315975,12302,Petoskey,Michigan
3334500,12401,Alpena,Michigan
3353025,12402,Grayling charter,Michigan
3371550,12501,Dayton,Ohio
3390075,12502,Washington Court House,Ohio
3408600,12600,Wayne,Indiana
3427125,12701,Cincinnati,Ohio
3445650,12702,Maysville,Kentucky
3464175,12800,Washington,Indiana
3482700,12901,Lexington-Fayette,Kentucky
3501225,12902,Mount Sterling,Kentucky
3519750,12903,Danville,Kentucky
3538275,13000,Elizabethtown,Kentucky
3556800,13101,Louisville,Kentucky
3575325,13102,Madison,Indiana
3593850,13103,Bardstown,Kentucky
3612375,13200,Owensboro,Kentucky
3630900,13300,Findlay,Ohio
3649425,13400,Lima,Ohio
3667950,13501,Toledo,Ohio
3686475,13502,Defiance,Ohio
3705000,13600,South Bend,Indiana
3723525,13700,Concord,Indiana
3742050,13800,Wayne,Indiana
3760575,13900,Center,Indiana
3779100,14000,Muncie,Indiana
3797625,14100,Fort Wayne,Indiana
3816150,14200,Indianapolis,Indiana
3834675,14300,Columbus,Indiana
3853200,14400,Terre Haute,Indiana
3871725,14500,Lafayette,Indiana
3890250,14600,Bloomington,Indiana
3908775,14700,Evansville,Indiana
3927300,14801,Olney,Illinois
3945825,14802,Vincennes,Indiana
3964350,14900,Gary,Indiana
3982875,15000,Canton,Ohio
4001400,15100,Lorain,Ohio
4019925,15200,Cleveland,Ohio
4038450,15300,Parkersburg,West Virginia
4056975,15400,Zanesville,Ohio
4075500,15500,Steubenville,Ohio
4094025,15600,Wheeling,West Virginia
4112550,15700,Scioto,Ohio
4131075,15800,Athens,Ohio
4149600,15900,Columbus,Ohio
4168125,16000,Mansfield,Ohio
4186650,16100,State College,Pennsylvania
4205175,16200,Altoona,Pennsylvania
4223700,16300,Pittsburgh,Pennsylvania
4242225,16400,Youngstown,Ohio
4260750,16500,Erie,Pennsylvania
4279275,16600,Roanoke,Virginia
4297800,16701,Elkins,West Virginia
4316325,16702,Morgantown,West Virginia
4334850,16703,Buckhannon,West Virginia
4353375,16801,Beckley,West Virginia
4371900,16802,Summersville,West Virginia
4390425,16901,Charleston,West Virginia
4408950,16902,Spencer,West Virginia
4427475,17000,Pikeville,Kentucky
4446000,17100,Huntington,Kentucky
4464525,17200,Harrisonburg,Virginia
4483050,17300,Staunton,Virginia
4501575,17400,Hagerstown,Pennsylvania
4520100,17501,Cumberland,Maryland
4538625,17502,Winchester,Virginia
4557150,17600,Charlottesville,Virginia
4575675,17700,Syracuse,New York
4594200,17800,Oneonta,New York
4612725,17900,Union,New York
4631250,18000,Buffalo,New York
4649775,18100,Elmira,New York
4668300,18201,Olean,New York
4686825,18202,St. Marys,Pennsylvania
4705350,18300,Watertown,New York
4723875,18400,Plattsburgh,New York
4742400,18500,Amsterdam,New York
4760925,18600,Albany,New York
4779450,18700,Sunbury,Pennsylvania
4797975,18800,Scranton,Pennsylvania
4816500,18900,Williamsport,Pennsylvania
4835025,19000,Allentown,Pennsylvania
4853550,19100,Reading,Pennsylvania
4872075,19200,Harrisburg,Pennsylvania
4890600,19300,Poughkeepsie,New York
4909125,19400,New York,New York
4927650,19500,Toms River,New Jersey
4946175,19600,Newark,New Jersey
4964700,19700,Philadelphia,Pennsylvania
4983225,19800,Wilmington,Delaware
5001750,19901,Dover,Delaware
5020275,19902,Easton,Maryland
5038800,19903,Chincoteague,Virginia
5057325,20001,Bangor,Maine
5075850,20002,Calais,Maine
5094375,20003,Presque Isle,Maine
5112900,20100,Portland,Maine
5131425,20200,Burlington,Vermont
5149950,20301,Berlin,Vermont
5168475,20302,Claremont,Vermont
5187000,20401,Providence,Rhode Island
5205525,20402,Nantucket,Massachusetts
5224050,20403,Oak Bluffs,Massachusetts
5242575,20500,Boston,Massachusetts
5261100,20600,Manchester,New Hampshire
5279625,20700,Keene,New Hampshire
5298150,20800,Springfield,Massachusetts
5316675,20901,Bridgeport,Connecticut
5335200,20902,Pittsfield,Massachusetts
5353725,21001,Ashland,Wisconsin
5372250,21002,Houghton,Michigan
5390775,21003,Ironwood,Michigan
5409300,21004,Rhinelander,Wisconsin
5427825,21101,Rice Lake,Wisconsin
5446350,21102,Amery,Wisconsin
5464875,21201,Hutchinson,Minnesota
5483400,21202,Redwood Falls,Minnesota
5501925,21301,Mankato,Minnesota
5520450,21302,Owatonna,Minnesota
5538975,21400,St. Cloud,Minnesota
5557500,21501,Minneapolis,Minnesota
5576025,21502,Pine City,Minnesota
5594550,21600,Brainerd,Minnesota
5613075,21701,Rochester,Minnesota
5631600,21702,Austin,Minnesota
5650125,21801,Mason City,Iowa
5668650,21802,Decorah,Iowa
5687175,21900,Marshalltown,Iowa
5705700,22001,Waterloo,Iowa
5724225,22002,Iowa Falls,Iowa
5742750,22100,Iowa City,Iowa
5761275,22200,Cedar Rapids,Iowa
5779800,22300,Ottumwa,Iowa
5798325,22400,Sheboygan,Wisconsin
5816850,22500,Oshkosh,Wisconsin
5835375,22601,Green Bay,Wisconsin
5853900,22602,Shawano,Wisconsin
5872425,22700,Wausau,Wisconsin
5890950,22800,Eau Claire,Wisconsin
5909475,22900,La Crosse,Wisconsin
5928000,23000,Monroe,Wisconsin
5946525,23100,Madison,Wisconsin
5965050,23200,Dubuque,Iowa
5983575,23301,Charleston,Illinois
6002100,23302,Douglas,Illinois
6020625,23400,Bloomington,Illinois
6039150,23500,Decatur,Illinois
6057675,23600,Burlington,Iowa
6076200,23700,Galesburg,Illinois
6094725,23801,Davenport,Illinois
6113250,23802,Clinton,Iowa
