,Label,Total,Enrolled in school,"Enrolled in nursery school, preschool",Enrolled in kindergarten,Enrolled in grade 1 to 4,Enrolled in grade 5 to 8,Enrolled in grade 9 to 12,"Enrolled in college, undergraduate years",Graduate or professional school,Not enrolled in school,Educational ratio
0,"Baldwin County, Alabama",189571,42227,3051,1935,9913,9512,11306,5433,1077,147344,0.22275031518533953
1,"Calhoun County, Alabama",113530,29527,2065,2005,6690,5074,5671,7586,436,84003,0.26008103584955516
2,"Cullman County, Alabama",77895,17482,2087,864,3203,3897,3585,3212,634,60413,0.22443032287053083
3,"DeKalb County, Alabama",68863,16569,1091,791,4132,3884,3476,2729,466,52294,0.24060816403583926
4,"Elmore County, Alabama",79069,20473,1609,561,5292,5189,3672,3652,498,58596,0.25892574839696975
5,"Etowah County, Alabama",100560,24256,834,1716,5315,4653,6183,5466,89,76304,0.24120922832140015
6,"Houston County, Alabama",99916,25278,1071,1085,5410,6706,5764,4561,681,74638,0.25299251371151765
7,"Jefferson County, Alabama",632763,166146,10372,9754,32315,32300,34565,36119,10721,466617,0.26257224268802065
8,"Lauderdale County, Alabama",90584,23258,1381,969,4102,4174,4318,7326,988,67326,0.25675616002826107
9,"Lee County, Alabama",145841,51908,2005,715,8170,8059,6977,20688,5294,93933,0.35592186010792576
10,"Limestone County, Alabama",85391,20286,1014,1062,4494,5529,4575,3231,381,65105,0.23756601983815626
11,"Madison County, Alabama",334986,93140,4811,3873,15680,20471,17667,24981,5657,241846,0.2780414703898073
12,"Marshall County, Alabama",91668,20864,1843,898,5241,5220,4191,3027,444,70804,0.2276039621241873
13,"Mobile County, Alabama",398470,105126,7484,6225,20515,23044,20653,22149,5056,293344,0.26382412728687227
14,"Montgomery County, Alabama",218300,65167,5192,2747,12033,12238,12420,14991,5546,153133,0.2985203847915712
15,"Morgan County, Alabama",114471,25484,1904,1605,5080,6124,7324,3259,188,88987,0.22262407072533655
16,"St. Clair County, Alabama",82481,17362,650,1270,3456,4726,4464,2589,207,65119,0.2104969629369188
17,"Shelby County, Alabama",198540,58559,3637,3779,11398,13000,12439,10495,3811,139981,0.2949481212853833
18,"Talladega County, Alabama",78882,19546,1057,547,3157,5320,5343,3845,277,59336,0.24778783499404172
19,"Tuscaloosa County, Alabama",193495,58644,1626,2083,8647,10723,9436,22863,3266,134851,0.3030775989043645
20,"Walker County, Alabama",63475,13357,261,867,3524,3548,3399,1580,178,50118,0.2104293028751477
21,"Anchorage Municipality, Alaska",288810,83827,3480,3787,16240,17422,15812,21604,5482,204983,0.2902496450953914
22,"Fairbanks North Star Borough, Alaska",95468,31143,1437,1937,4707,5564,6303,8301,2894,64325,0.32621401935727157
23,"Matanuska-Susitna Borough, Alaska",91267,27242,1513,1114,5627,7312,6715,3825,1136,64025,0.2984868572430342
24,"Apache County, Arizona",69086,21754,1536,1366,4883,4455,5607,3731,176,47332,0.31488289957444343
25,"Cochise County, Arizona",125453,33770,1463,1954,5837,7312,8697,7648,859,91683,0.2691844754609296
26,"Coconino County, Arizona",131551,46613,1747,1471,7685,5657,6028,20897,3128,84938,0.35433406055446176
27,"Maricopa County, Arizona",3851203,1083272,53214,58169,229337,226868,228300,229713,57671,2767931,0.28128145932582627
28,"Mohave County, Arizona",196839,38209,2265,813,9646,10016,9367,5314,788,158630,0.19411295525785033
29,"Navajo County, Arizona",102898,29208,1367,1490,7723,6669,7143,4259,557,73690,0.2838539135843262
30,"Pima County, Arizona",961321,257652,11316,11013,48709,51526,53799,68388,12901,703669,0.2680186951080856
31,"Pinal County, Arizona",374760,94601,3983,5422,21679,23157,21275,15653,3432,280159,0.25243088910235884
32,"Yavapai County, Arizona",210120,42747,1876,2733,7553,9633,8496,10929,1527,167373,0.2034408909194746
33,"Yuma County, Arizona",192569,53560,2999,2344,11190,12327,12323,11330,1047,139009,0.2781340714237494
34,"Benton County, Arkansas",228698,60176,3704,4624,14062,14305,13286,9118,1077,168522,0.2631242949216871
35,"Craighead County, Arkansas",97755,29686,1829,2872,6006,4746,4174,8244,1815,68069,0.30367756125006395
36,"Faulkner County, Arkansas",114787,37624,1838,1295,6128,6985,5952,13778,1648,77163,0.3277723087109167
37,"Garland County, Arkansas",94410,21252,2099,1218,4091,4658,4265,4096,825,73158,0.22510327295837304
38,"Jefferson County, Arkansas",70514,20166,1143,1196,3187,4211,3782,5693,954,50348,0.2859857616927135
39,"Lonoke County, Arkansas",67748,19889,1237,1177,4439,4283,4818,3191,744,47859,0.2935732420145244
40,"Pulaski County, Arkansas",375619,96506,7344,5955,17723,20780,17651,21539,5514,279113,0.2569252354114142
41,"Saline County, Arkansas",111009,27024,2744,1656,5492,5873,5593,4096,1570,83985,0.2434397211036943
42,"Sebastian County, Arkansas",122815,32934,2963,2623,7117,6420,5639,7595,577,89881,0.26815942678011645
43,"Washington County, Arkansas",207254,68983,3563,2909,13980,10515,11085,22540,4391,138271,0.33284279193646443
44,"White County, Arkansas",75589,22692,517,1162,4553,4292,3595,7711,862,52897,0.30020241040363016
45,"Alameda County, California",1522268,416967,27890,21515,76285,72644,77523,112683,28427,1105301,0.2739116896630554
46,"Butte County, California",215082,61616,3063,2367,9450,9429,11818,23062,2427,153466,0.28647678559805095
47,"Contra Costa County, California",1054634,290508,18366,15444,62649,58039,62287,61315,12408,764126,0.27545859511451365
48,"El Dorado County, California",177127,42923,2829,3250,8274,8411,11386,7717,1056,134204,0.24232895041410965
49,"Fresno County, California",908689,287306,13948,17394,63553,59371,60896,65607,6537,621383,0.31617638157829575
50,"Humboldt County, California",129487,34248,1537,1623,5766,5908,5477,12105,1832,95239,0.264489871570119
51,"Imperial County, California",168904,53355,3603,2519,11448,10494,12873,11358,1060,115549,0.3158894993605835
52,"Kern County, California",822342,262141,12819,16001,58122,56207,58484,54784,5724,560201,0.31877369756135526
53,"Kings County, California",145004,42961,1862,2274,8894,8664,12526,7732,1009,102043,0.2962745855286751
54,"Lake County, California",62319,13418,1239,166,3359,2760,2623,3064,207,48901,0.21531154222628732
55,"Los Angeles County, California",9651129,2748844,157938,133024,498595,509212,585577,723783,140715,6902285,0.28482097793947214
56,"Madera County, California",145662,40701,1738,2072,10731,9448,9998,5856,858,104961,0.2794208510112452
57,"Marin County, California",252049,63471,6131,3463,11067,14418,12104,12349,3939,188578,0.25182008260298594
