,Label,Total,Enrolled in school,"Enrolled in nursery school, preschool",Enrolled in kindergarten,Enrolled in grade 1 to 4,Enrolled in grade 5 to 8,Enrolled in grade 9 to 12,"Enrolled in college, undergraduate years",Graduate or professional school,Not enrolled in school,Educational ratio
33,"Yuma County, Arizona",198929,54223,2665,2395,12075,11041,12519,12099,1429,144706,0.2725746371821102
34,"Benton County, Arkansas",255478,65940,2832,4170,15431,18151,14300,9598,1458,189538,0.25810441603582307
35,"Craighead County, Arkansas",102565,29711,2738,1120,5942,5765,4803,8181,1162,72854,0.2896797153024911
36,"Faulkner County, Arkansas",118985,38336,2166,2301,7288,5652,6444,11768,2717,80649,0.3221918729251586
37,"Garland County, Arkansas",95829,22966,1244,1175,5133,4187,4923,6098,206,72863,0.2396560540128771
38,"Jefferson County, Arkansas",67021,18986,1727,519,3939,3245,4607,4402,547,48035,0.2832843437131645
39,"Lonoke County, Arkansas",70249,18193,1259,931,4170,4129,4433,2607,664,52056,0.2589787754985836
40,"Pulaski County, Arkansas",378282,95188,7745,5779,21420,18566,17999,15327,8352,283094,0.2516323800762394
41,"Saline County, Arkansas",116126,30337,1943,2185,6319,6554,5761,6341,1234,85789,0.2612420990992543
42,"Sebastian County, Arkansas",122823,31899,1800,1774,7355,6190,7987,6118,675,90924,0.2597151999218387
43,"Washington County, Arkansas",222799,67972,3742,3888,11726,12526,11123,20826,4141,154827,0.30508215925565196
44,"White County, Arkansas",75722,20206,919,765,4508,3893,3851,5409,861,55516,0.26684451018198146
45,"Alameda County, California",1609612,410379,29996,20175,74193,76718,72991,103635,32671,1199233,0.25495523144708165
46,"Butte County, California",221940,66232,3382,3111,11357,8616,9542,27013,3211,155708,0.2984229972064522
47,"Contra Costa County, California",1111820,303823,19686,14347,56150,64052,64262,72807,12519,807997,0.27326635606483063
48,"El Dorado County, California",184086,42414,2627,1831,8314,8483,11708,7966,1485,141672,0.23040318112186695
49,"Fresno County, California",945650,292068,16255,18712,59867,66266,61269,60498,9201,653582,0.3088542272510971
50,"Humboldt County, California",131589,32756,1893,1802,4942,5848,5086,12705,480,98833,0.2489265820091345
51,"Imperial County, California",172861,55501,3317,3528,11025,11560,13255,11547,1269,117360,0.32107300085039425
52,"Kern County, California",851029,261365,9763,16108,59900,56233,61765,51028,6568,589664,0.3071164437404601
53,"Kings County, California",142909,42218,1249,2171,8575,10011,10935,8554,723,100691,0.29541876298903497
54,"Lake County, California",62317,13194,347,1443,2981,3223,3081,2044,75,49123,0.21172392766018902
55,"Los Angeles County, California",9798786,2639931,155211,131286,453636,496214,524496,735780,143308,7158855,0.2694140886432258
56,"Madera County, California",149916,46062,2052,2450,9996,10857,11960,8096,651,103854,0.30725206115424636
57,"Marin County, California",254264,59125,5105,3498,12553,11641,13400,10219,2709,195139,0.23253390177138722
58,"Mendocino County, California",84813,19477,994,841,4166,4941,4003,3956,576,65336,0.2296463985473925
59,"Merced County, California",260778,90516,6032,4347,17657,18015,19302,22557,2606,170262,0.3470998320410464
60,"Monterey County, California",418892,125848,6800,7868,23632,26537,27167,28795,5049,293044,0.3004306599314382
61,"Napa County, California",137022,33990,1720,1291,6157,7400,7576,8509,1337,103032,0.24806235495029996
62,"Nevada County, California",97198,17876,1038,1049,3736,3784,4366,3200,703,79322,0.1839132492438116
63,"Orange County, California",3082913,858030,52565,37240,146223,163554,172741,238208,47499,2224883,0.2783179415053231
64,"Placer County, California",374999,94413,6809,5439,20144,19656,20146,19213,3006,280586,0.2517686713831237
65,"Riverside County, California",2330040,673289,28301,34613,133524,141484,152490,155833,27044,1656751,0.2889602753600797
66,"Sacramento County, California",1473384,395688,21408,21665,79940,80603,80685,91645,19742,1077696,0.26855728038311805
67,"San Bernardino County, California",2066841,628316,29886,28493,123544,132420,136199,147775,29999,1438525,0.30399822724631453
68,"San Diego County, California",3214232,877730,53379,43812,143761,166629,166409,248854,54886,2336502,0.2730761189609213
69,"San Francisco County, California",858658,157580,12002,6618,22827,23057,24617,47449,21010,701078,0.1835189330327092
70,"San Joaquin County, California",715868,207721,10598,12696,45589,45633,48909,38842,5454,508147,0.29016662289695866
71,"San Luis Obispo County, California",276318,77950,3922,2701,12621,11161,11130,34035,2380,198368,0.28210250508472123
72,"San Mateo County, California",746061,182818,13954,11818,35627,35063,34868,39198,12290,563243,0.2450443060285955
73,"Santa Barbara County, California",430787,136935,5973,6009,23399,20085,24013,51433,6023,293852,0.31787170922056607
74,"Santa Clara County, California",1870581,505722,36531,25160,89094,98604,97446,123362,35525,1364859,0.2703555740168429
75,"Santa Cruz County, California",268458,84565,3463,3318,10774,14764,12805,33816,5625,183893,0.3150027192335486
76,"Shasta County, California",172955,40249,1958,2119,7184,8662,10182,8371,1773,132706,0.23271371165910207
77,"Solano County, California",429721,109641,5376,5994,21368,22361,22880,27105,4557,320080,0.25514461708876224
78,"Sonoma County, California",489522,117540,7066,6954,21913,22160,23682,30699,5066,371982,0.24011178251437115
79,"Stanislaus County, California",525466,152819,8988,7274,34201,32409,34563,32467,2917,372647,0.2908256671221354
80,"Sutter County, California",93438,25901,1691,1440,4680,6264,5819,5500,507,67537,0.2771998544489394
81,"Tulare County, California",442232,137455,4615,8814,30436,32678,33142,25161,2609,304777,0.3108210170227392
82,"Ventura County, California",823059,225028,14518,9291,40918,48158,49789,54624,7730,598031,0.27340445824661413
83,"Yolo County, California",211262,81973,2803,3215,9097,11645,10659,38699,5855,129289,0.38801582868665446
84,"Yuba County, California",73339,20496,1030,996,5222,4488,3489,4610,661,52843,0.27946931373484774
85,"Adams County, Colorado",481170,130154,6709,7070,32675,28952,32816,17705,4227,351016,0.27049483550512293
86,"Arapahoe County, Colorado",619181,159907,10691,7358,31792,36913,36080,26088,10985,459274,0.2582556635297272
87,"Boulder County, Colorado",314162,100205,5381,4200,14992,14016,14813,38504,8299,213957,0.3189596450239049
88,"Broomfield County, Colorado",66736,17973,1450,780,3319,4752,4062,2709,901,48763,0.26931491249100936
89,"Denver County, Colorado",678332,158035,10518,8075,31410,29052,27298,37350,14332,520297,0.23297588791329318
90,"Douglas County, Colorado",324148,93199,6297,4763,16725,24350,23818,13143,4103,230949,0.28751989831805225
91,"El Paso County, Colorado",670451,185063,10204,9035,36603,40181,36004,44228,8808,485388,0.2760276291630559
92,"Jefferson County, Colorado",556328,129694,8751,6274,24737,26977,29143,26527,7285,426634,0.2331250629125264
93,"Larimer County, Colorado",332109,93442,3988,4208,16040,14171,15931,32015,7089,238667,0.2813594331981368
94,"Mesa County, Colorado",146171,37270,2274,1978,6684,7641,7889,9869,935,108901,0.25497533710517134
95,"Pueblo County, Colorado",160899,40321,2012,2117,8780,8809,8696,8370,1537,120578,0.25059820135613026
96,"Weld County, Colorado",292942,82656,6067,5227,19585,16695,14579,17433,3070,210286,0.28215824292863434
97,"Fairfield County, Connecticut",918076,252401,15577,11820,47766,51470,56451,53487,15830,665675,0.27492386251247175
98,"Hartford County, Connecticut",868685,218141,13597,9069,39163,45054,48353,50019,12886,650544,0.25111634251771353
99,"Litchfield County, Connecticut",178230,36265,2466,1498,7343,7763,9047,6881,1267,141965,0.2034730404533468
100,"Middlesex County, Connecticut",159438,37046,2655,945,5465,8867,7643,9769,1702,122392,0.2323536421681155
101,"New Haven County, Connecticut",833258,216383,12494,7895,39103,39791,47664,52220,17216,616875,0.2596830753500116
102,"New London County, Connecticut",262269,61596,3499,1831,11283,13772,13976,13116,4119,200673,0.23485810370268695
103,"Tolland County, Connecticut",147845,48715,1682,1514,4938,6395,7541,22775,3870,99130,0.32950049037843687
104,"Windham County, Connecticut",113437,28062,1489,583,4793,5950,5208,8434,1605,85375,0.24737960277510865
105,"Kent County, Delaware",170378,48634,1973,3698,8154,9561,8206,13399,3643,121744,0.2854476516921199
106,"New Castle County, Delaware",541283,143061,9149,6140,27642,28046,27851,35194,9039,398222,0.2642998209808917
107,"Sussex County, Delaware",217914,41351,2414,2409,8383,11350,9085,6646,1064,176563,0.18975834503519737
108,"District of Columbia, District of Columbia",666887,167649,13119,9551,28102,20475,22217,50096,24089,499238,0.2513904154676879
109,"Alachua County, Florida",259236,93506,4798,3492,9592,9617,10582,43109,12316,165730,0.3606983597957074
110,"Bay County, Florida",176037,40657,2759,2096,7690,9965,8829,7245,2073,135380,0.23095712833097587
111,"Brevard County, Florida",573430,126930,8374,5126,22176,26602,28186,28351,8115,446500,0.2213522138709171
112,"Broward County, Florida",1868637,479823,32930,21989,88532,95158,97411,112389,31414,1388814,0.25677699842184437
113,"Charlotte County, Florida",178561,22513,895,804,5423,4678,5177,4564,972,156048,0.12608016308152395
114,"Citrus County, Florida",143413,21667,1022,1335,3914,5376,5536,4113,371,121746,0.15108114327153047
115,"Clay County, Florida",206948,55808,2781,2509,11233,13214,13829,11374,868,151140,0.26967160832672943
116,"Collier County, Florida",363124,64930,2691,2858,15803,14905,13628,12014,3031,298194,0.17880944250448882
117,"Columbia County, Florida",67002,14601,328,1622,2758,4079,3832,1721,261,52401,0.21791886809348976
118,"Duval County, Florida",898562,223043,13935,14331,48206,42551,43569,49367,11084,675519,0.24822215940580616
119,"Escambia County, Florida",301130,75112,3979,3349,16877,13185,12848,22414,2460,226018,0.24943379935575996
120,"Flagler County, Florida",107864,21828,665,698,4727,5095,5259,4858,526,86036,0.2023659422977082
121,"Hernando County, Florida",181311,34307,896,1620,8624,7773,7876,6554,964,147004,0.1892163189216319
122,"Highlands County, Florida",99817,17513,1067,996,3713,5254,3577,2682,224,82304,0.17545107546810665
123,"Hillsborough County, Florida",1355577,364368,21502,16899,71514,70762,72826,88737,22128,991209,0.26879181337541136
124,"Indian River County, Florida",150471,29116,1396,2139,5066,6716,6773,5865,1161,121355,0.19349907955685813
125,"Lake County, Florida",338073,71361,2927,3580,16693,14148,17533,14498,1982,266712,0.21108163029878163
126,"Lee County, Florida",718915,146205,7830,7517,27414,32483,33206,31056,6699,572710,0.20336896573308388
127,"Leon County, Florida",280632,101545,4117,2094,12096,13922,12403,45957,10956,179087,0.3618439807292112
128,"Manatee County, Florida",374557,72602,4316,2060,17241,17703,16907,11992,2383,301955,0.19383431627228967
129,"Marion County, Florida",344454,68833,4127,4127,13487,17197,15801,11690,2404,275621,0.1998321982035337
130,"Martin County, Florida",156198,29619,1823,2066,5327,6333,6937,5902,1231,126579,0.18962470710252372
131,"Miami-Dade County, Florida",2656689,658985,45827,30828,122099,122207,129383,160551,48090,1997704,0.24804747563602664
132,"Monroe County, Florida",75037,10937,824,500,2526,2255,2261,1927,644,64100,0.14575476098458093
133,"Nassau County, Florida",80108,17258,348,1099,3959,3658,4347,3744,103,62850,0.21543416387876366
134,"Okaloosa County, Florida",195517,46335,3855,1769,12008,9508,7680,9526,1989,149182,0.23698706506339604
135,"Orange County, Florida",1300782,358726,19584,16449,66033,67668,71530,100924,16538,942056,0.27577718633867937
136,"Osceola County, Florida",338226,90762,4472,4925,19036,19683,22605,16393,3648,247464,0.26834719980131627
137,"Palm Beach County, Florida",1427761,329136,25743,16152,62663,63285,68636,75831,16826,1098625,0.23052597738697164
138,"Pasco County, Florida",509539,110644,6420,6086,22236,26971,22823,21512,4596,398895,0.2171453019297836
139,"Pinellas County, Florida",945526,185001,11693,8643,37968,33272,38338,45613,9474,760525,0.19565934728394566
140,"Polk County, Florida",662094,157004,6938,7727,34351,37331,36638,29225,4794,505090,0.23713249176098863
141,"Putnam County, Florida",71282,14712,728,645,3420,3632,3713,2146,428,56570,0.20639151538957942
142,"St. Johns County, Florida",235047,54941,3187,3634,12356,10831,13589,9628,1716,180106,0.2337447404136194
143,"St. Lucie County, Florida",304995,66314,4142,2889,12948,13744,15985,13155,3451,238681,0.2174265151887736
144,"Santa Rosa County, Florida",168473,41442,2795,1409,9156,8761,10485,6586,2250,127031,0.24598600369198625
145,"Sarasota County, Florida",409001,62305,3693,3540,13111,13892,14948,10989,2132,346696,0.15233459086897097
146,"Seminole County, Florida",447918,120197,8666,5039,21698,22238,25009,30955,6592,327721,0.26834599190030317
147,"Sumter County, Florida",123076,8952,312,162,803,2538,2808,2255,74,114124,0.07273554551659138
148,"Volusia County, Florida",522502,108146,5435,4620,22725,20049,23794,28239,3284,414356,0.20697719817340413
149,"Walton County, Florida",65838,12773,1057,790,3192,3098,2815,1469,352,53065,0.19400650080500623
150,"Barrow County, Georgia",75859,21121,1965,1477,4991,4630,4138,3042,878,54738,0.278424445352562
151,"Bartow County, Georgia",101263,24715,1127,917,5896,5444,7612,3228,491,76548,0.24406742837956608
152,"Bibb County, Georgia",145962,40910,2437,3487,7488,8284,7875,9689,1650,105052,0.2802784286321097
153,"Bulloch County, Georgia",73692,28903,552,844,3161,4431,2944,15368,1603,44789,0.39221353742604353
154,"Carroll County, Georgia",113732,33650,1733,1008,6497,7096,7329,8295,1692,80082,0.29587099497063274
155,"Catoosa County, Georgia",65142,16276,703,803,3083,4176,4098,3229,184,48866,0.24985416474778177
156,"Chatham County, Georgia",277963,78028,4554,2475,14150,13192,13876,25003,4778,199935,0.2807136201580786
157,"Cherokee County, Georgia",239414,70901,3860,2399,13502,17114,15464,14555,4007,168513,0.29614391806661267
158,"Clarke County, Georgia",123018,50247,1173,788,5333,4720,4972,26490,6771,72771,0.4084524215968395
159,"Clayton County, Georgia",271685,81446,4401,3303,19117,18585,19839,13340,2861,190239,0.2997809963744778
160,"Cobb County, Georgia",729494,208822,15924,10277,40405,40403,45324,44290,12199,520672,0.28625595275629406
161,"Columbia County, Georgia",146872,46341,3565,1941,6787,10256,9905,11316,2571,100531,0.31551963614575956
162,"Coweta County, Georgia",137424,34570,2565,1840,7933,8351,7886,5021,974,102854,0.25155722435673533
163,"DeKalb County, Georgia",722294,196702,15133,11676,38873,38151,37641,38929,16299,525592,0.2723295500170291
164,"Dougherty County, Georgia",86080,28046,1728,1602,5328,4008,6008,8462,910,58034,0.3258131970260223
165,"Douglas County, Georgia",139373,39272,3273,2532,8798,8090,9215,5456,1908,100101,0.28177624073529306
166,"Fayette County, Georgia",109495,29115,1609,1228,5728,7515,7752,3688,1595,80380,0.26590255262797385
167,"Floyd County, Georgia",94254,23309,888,1406,5070,5090,5533,5105,217,70945,0.24729984934326393
168,"Forsyth County, Georgia",219506,65931,4363,3594,14787,16140,15438,9131,2478,153575,0.30036081018286515
169,"Fulton County, Georgia",1004495,273901,19710,13365,51828,52788,53948,59547,22715,730594,0.27267532441674674
170,"Glynn County, Georgia",82354,21318,1866,404,4405,4815,4797,3425,1606,61036,0.25885810039585205
171,"Gwinnett County, Georgia",885716,263556,17166,15082,57374,58615,59833,41384,14102,622160,0.29756264987874215
172,"Hall County, Georgia",191436,49821,2178,2329,11672,11946,12363,8157,1176,141615,0.26024885601454273
173,"Henry County, Georgia",219385,62556,3135,2271,12502,17038,14678,10134,2798,156829,0.28514255760421175
174,"Houston County, Georgia",146984,41122,1993,2168,8127,10046,9377,7576,1835,105862,0.2797719479671257
175,"Jackson County, Georgia",65160,16391,1474,290,3780,4492,3097,2523,735,48769,0.2515500306936771
176,"Lowndes County, Georgia",109845,31906,1889,1120,6281,5882,5575,10019,1140,77939,0.29046383540443355
177,"Muscogee County, Georgia",186461,52747,4046,2426,10800,10481,9803,13205,1986,133714,0.28288489281941
178,"Newton County, Georgia",104391,30444,1194,1650,6832,6011,9033,4879,845,73947,0.2916343362933586
179,"Paulding County, Georgia",152563,39109,2474,1484,8779,11139,8812,5532,889,113454,0.25634655847092674
180,"Richmond County, Georgia",193281,51260,3685,2090,12310,7864,10625,11442,3244,142021,0.26520972056229014
181,"Rockdale County, Georgia",87349,25100,1342,1344,5181,5268,6942,4322,701,62249,0.2873530320896633
182,"Spalding County, Georgia",63005,15906,1274,1287,2915,4436,3897,1302,795,47099,0.25245615427347035
183,"Troup County, Georgia",66908,16738,975,1454,3785,4233,3772,2299,220,50170,0.250164404854427
184,"Walker County, Georgia",66041,12726,236,532,2326,4051,3220,1971,390,53315,0.1926984751896549
185,"Walton County, Georgia",88425,23182,1609,887,5655,5236,5489,4001,305,65243,0.2621656771275092
186,"Whitfield County, Georgia",100684,27453,1176,1068,7421,6223,6118,4993,454,73231,0.27266497159429504
187,"Hawaii County, Hawaii",192769,41743,2748,2710,8283,10388,8721,7260,1633,151026,0.21654415388366385
188,"Honolulu County, Hawaii",951989,235177,16409,11555,41893,46274,42266,62652,14128,716812,0.2470375182906525
189,"Kauai County, Hawaii",69412,14617,1595,957,3705,3645,2957,1317,441,54795,0.2105831844637815
190,"Maui County, Hawaii",160861,33071,2608,1781,8873,7042,7665,4206,896,127790,0.20558743262816967
191,"Ada County, Idaho",442687,121847,7185,6069,22158,28975,25756,25763,5941,320840,0.27524413411733345
192,"Bannock County, Idaho",81191,25234,976,540,4777,4902,5921,7042,1076,55957,0.3107979948516461
193,"Bonneville County, Idaho",109058,33283,2293,1566,8654,7713,7201,4729,1127,75775,0.3051862311797392
194,"Canyon County, Idaho",207271,59680,2515,2585,12494,16236,13965,10392,1493,147591,0.28793222399660345
195,"Kootenai County, Idaho",151021,33926,2677,1822,8561,6713,8053,5447,653,117095,0.22464425477251507
196,"Twin Falls County, Idaho",81562,22422,1263,840,5621,5866,4656,3753,423,59140,0.27490743238272725
197,"Adams County, Illinois",63962,15037,1082,1721,3492,2517,3117,2764,344,48925,0.23509271129733278
198,"Champaign County, Illinois",203187,81187,3351,2646,8241,8856,8801,39010,10282,122000,0.3995678857407216
199,"Cook County, Illinois",5023248,1272191,90621,56042,251998,258552,262018,257679,95281,3751057,0.2532606393313649
200,"DeKalb County, Illinois",101418,34148,1671,1758,4986,4339,5459,13975,1960,67270,0.3367055157861524
201,"DuPage County, Illinois",897295,241744,16169,9075,46343,51233,53900,49700,15324,655551,0.2694141837411331
202,"Kane County, Illinois",513310,149495,8603,7670,29676,33643,34907,29602,5394,363815,0.2912372640314819
203,"Kankakee County, Illinois",105903,28649,1531,1464,5239,6019,6598,7072,726,77254,0.2705211372671218
204,"Kendall County, Illinois",121954,36711,3541,2462,10219,7504,8437,3618,930,85243,0.30102333666792397
205,"Lake County, Illinois",679301,189452,12210,8457,38368,41067,46051,34667,8632,489849,0.2788925675068931
206,"LaSalle County, Illinois",106457,24418,1976,1534,4616,5656,6226,3910,500,82039,0.22936960462909908
207,"McHenry County, Illinois",300091,81452,5907,4353,15756,17365,20017,15486,2568,218639,0.2714243346184991
208,"McLean County, Illinois",166566,55263,2499,2807,7869,8715,8612,22266,2495,111303,0.33177839415006666
209,"Macon County, Illinois",102699,24028,2078,1558,4659,5940,5051,4247,495,78671,0.2339652771692032
210,"Madison County, Illinois",255226,63750,2535,2200,13721,14125,13797,14012,3360,191476,0.24977862756929153
211,"Peoria County, Illinois",176276,46557,3324,1460,10295,9891,9905,10188,1494,129719,0.26411422995756656
212,"Rock Island County, Illinois",138822,33222,1273,1351,7279,6757,7854,7376,1332,105600,0.23931365345550418
213,"St. Clair County, Illinois",252293,65026,5549,3392,14897,12640,14577,11023,2948,187267,0.2577400086407471
214,"Sangamon County, Illinois",189645,46902,3692,2341,10063,10128,10320,7912,2446,142743,0.24731471960768805
215,"Tazewell County, Illinois",129330,32073,2592,1828,7383,6753,6730,5228,1559,97257,0.24799350498724193
216,"Vermilion County, Illinois",74961,17618,1181,860,4427,4857,3435,2390,468,57343,0.23502888168514294
217,"Will County, Illinois",668679,186651,9666,7977,37629,44449,45057,34891,6982,482028,0.2791339342195583
218,"Williamson County, Illinois",64831,13810,856,319,3877,3561,2723,2363,111,51021,0.21301537844549676
219,"Winnebago County, Illinois",273977,67027,4615,3559,14117,15127,16939,10264,2406,206950,0.24464462345379356
220,"Allen County, Indiana",358067,96553,6609,4565,20314,22424,21892,17660,3089,261514,0.2696506519729548
221,"Bartholomew County, Indiana",79110,17506,1312,488,5583,3705,3614,2262,542,61604,0.22128681582606496
222,"Boone County, Indiana",63158,17741,1214,887,4116,3839,4209,2419,1057,45417,0.28089869850216914
223,"Clark County, Indiana",112597,26992,1913,1382,5548,5728,6371,5288,762,85605,0.2397221950851266
224,"Delaware County, Indiana",111639,34129,1500,650,3747,5793,4181,16518,1740,77510,0.3057085785433406
225,"Elkhart County, Indiana",196181,52702,3011,2536,13057,13222,12282,7935,659,143479,0.26863967458622395
226,"Floyd County, Indiana",74546,19749,1107,1220,3536,4156,5070,4194,466,54797,0.26492367129021005
227,"Grant County, Indiana",64586,18115,1046,805,3434,3178,3089,5544,1019,46471,0.2804787415229307
228,"Hamilton County, Indiana",308978,86216,5762,4356,19232,22501,20936,9634,3795,222762,0.27903604787395864
229,"Hancock County, Indiana",72804,18119,1706,882,2177,5216,4695,2706,737,54685,0.24887368825888687
230,"Hendricks County, Indiana",158100,45281,2943,1623,8648,12079,9802,8910,1276,112819,0.2864073371283997
231,"Howard County, Indiana",79322,19088,1753,1046,3884,4919,4070,3299,117,60234,0.24063941907667483
232,"Johnson County, Indiana",147779,37766,2423,1649,8461,8790,8165,6905,1373,110013,0.25555728486456125
233,"Kosciusko County, Indiana",76320,16950,1106,774,3901,3710,4078,2946,435,59370,0.22209119496855345
234,"Lake County, Indiana",468432,119382,8325,7473,23431,27231,27656,21332,3934,349050,0.2548544932882467
235,"LaPorte County, Indiana",106426,22412,1660,1453,4626,4849,6337,2895,592,84014,0.2105876383590476
236,"Madison County, Indiana",124890,26539,1516,1111,6600,5442,7144,4039,687,98351,0.21249899911922493
237,"Marion County, Indiana",910269,236323,15644,13718,47498,53046,48646,41781,15990,673946,0.2596188599194304
238,"Monroe County, Indiana",142341,58245,1962,1332,5355,5324,5393,30305,8574,84096,0.40919341581132634
239,"Morgan County, Indiana",67349,15778,1008,929,3317,3367,4422,2535,200,51571,0.23427222378951432
240,"Porter County, Indiana",163478,40988,2203,2756,8968,8656,9519,7221,1665,122490,0.2507248681779811
241,"St. Joseph County, Indiana",259973,74184,4259,3622,13637,14518,14010,19830,4308,185789,0.2853527097044693
242,"Tippecanoe County, Indiana",183741,70896,2155,3726,9408,7108,7854,31665,8980,112845,0.3858474700801672
243,"Vanderburgh County, Indiana",174424,43022,2445,2145,9589,8022,8101,10778,1942,131402,0.24665183690317846
244,"Vigo County, Indiana",103749,29500,1341,700,4907,4895,4905,11639,1113,74249,0.2843400900249641
245,"Wayne County, Indiana",63791,14682,691,595,2527,3858,3375,3233,403,49109,0.23015785925914314
246,"Black Hawk County, Iowa",127703,38156,1483,1038,7325,6679,6048,14034,1549,89547,0.29878702927887363
247,"Dallas County, Iowa",83225,24015,2256,1086,5079,6056,5511,2741,1286,59210,0.2885551216581556
248,"Dubuque County, Iowa",92862,26291,1853,1147,4859,4940,4990,7495,1007,66571,0.28311903685038015
249,"Johnson County, Iowa",143644,56023,3211,1659,7058,6389,5181,25514,7011,87621,0.39001280944557376
250,"Linn County, Iowa",214827,54634,3091,2733,10701,13478,11913,11105,1613,160193,0.2543162637843474
251,"Polk County, Iowa",460612,122959,8253,6707,26716,25760,26751,23088,5684,337653,0.26694701831476386
252,"Pottawattamie County, Iowa",89415,22044,1121,814,5417,4760,5209,3922,801,67371,0.24653581613823183
253,"Scott County, Iowa",165868,43918,2345,2590,9605,9965,9813,6864,2736,121950,0.26477681047580004
254,"Story County, Iowa",94825,43013,1228,1243,3624,3221,3120,26698,3879,51812,0.4536040073820195
255,"Woodbury County, Iowa",98108,25599,1657,804,5824,6754,5490,4396,674,72509,0.2609267338035634
256,"Butler County, Kansas",64905,17602,752,766,3518,4580,4256,3276,454,47303,0.2711963639164933
257,"Douglas County, Kansas",117592,40209,2065,900,4987,4813,4981,19012,3451,77383,0.3419365262943057
258,"Johnson County, Kansas",568164,154691,12668,9358,33066,31618,33017,24179,10785,413473,0.2722646982209362
259,"Leavenworth County, Kansas",78730,22716,2311,795,4563,4564,4752,3445,2286,56014,0.2885304204242347
260,"Riley County, Kansas",70639,30487,924,646,2705,1981,2248,18220,3763,40152,0.43158878240065685
261,"Sedgwick County, Kansas",494513,140809,10976,6526,31563,26865,31050,26427,7402,353704,0.28474276712644564
