,Label,Total,Enrolled in school,"Enrolled in nursery school, preschool",Enrolled in kindergarten,Enrolled in grade 1 to 4,Enrolled in grade 5 to 8,Enrolled in grade 9 to 12,"Enrolled in college, undergraduate years",Graduate or professional school,Not enrolled in school,Educational ratio
0,"Baldwin County, Alabama",205713,45966,1991,2920,10814,10721,11704,6620,1196,159747,0.2234472298785201
1,"Calhoun County, Alabama",111814,26916,2110,1306,4658,6025,5900,5726,1191,84898,0.24072119770332875
2,"Cullman County, Alabama",80466,16704,931,786,3719,4732,3778,2572,186,63762,0.20759078368503467
3,"DeKalb County, Alabama",69739,17904,581,1627,3816,4062,3548,4000,270,51835,0.2567286597169446
4,"Elmore County, Alabama",78905,18956,855,1114,3231,4933,5153,2663,1007,59949,0.24023826120017744
5,"Etowah County, Alabama",100140,22726,1343,1475,5885,4113,5397,3549,964,77414,0.22694228080687037
6,"Houston County, Alabama",100728,24810,1470,1221,5961,5383,5669,3671,1435,75918,0.24630688587086014
7,"Jefferson County, Alabama",634210,169666,12302,8327,32378,35254,35649,35661,10095,464544,0.267523375538071
8,"Lauderdale County, Alabama",89490,23822,1453,1074,3796,3880,5211,7659,749,65668,0.2661973404849704
9,"Lee County, Alabama",155867,57130,2266,2464,7500,8310,7118,25728,3744,98737,0.3665304394130894
10,"Limestone County, Alabama",90749,22816,1028,1262,4690,4905,5137,4692,1102,67933,0.2514187484159605
11,"Madison County, Alabama",348825,96881,4878,4060,16245,19038,19177,26049,7434,251944,0.2777352540672257
12,"Marshall County, Alabama",92442,23521,1219,1240,5752,5418,4913,4465,514,68921,0.25444062222799163
13,"Mobile County, Alabama",399225,101336,6542,4552,20671,22799,22994,20950,2828,297889,0.25383179911077713
14,"Montgomery County, Alabama",217268,56627,2130,2119,12512,12509,11777,12278,3302,160641,0.2606320304876926
15,"Morgan County, Alabama",114575,27609,1445,1737,5871,6038,6442,5285,791,86966,0.24096879773074406
16,"St. Clair County, Alabama",85317,17880,598,1080,5813,5101,2940,2264,84,67437,0.20957136326875067
17,"Shelby County, Alabama",205647,55165,2679,3238,11333,12169,13425,9970,2351,150482,0.2682509348543864
18,"Talladega County, Alabama",77165,17967,759,603,3953,4565,4137,3644,306,59198,0.23283872221862242
19,"Tuscaloosa County, Alabama",199826,58478,2817,1674,10276,8111,9684,23182,2734,141348,0.29264460080269833
20,"Walker County, Alabama",62294,13116,820,994,3128,2949,3286,1888,51,49178,0.21054997271005232
21,"Anchorage Municipality, Alaska",281085,73658,3428,4863,16171,14180,15518,15638,3860,207427,0.2620488464343526
22,"Fairbanks North Star Borough, Alaska",94845,27354,834,1962,5710,4411,4970,7749,1718,67491,0.2884074015498972
23,"Matanuska-Susitna Borough, Alaska",102083,27875,1105,1358,6217,7325,6529,4450,891,74208,0.2730621161211955
24,"Apache County, Arizona",68801,20135,853,1338,4118,4851,5377,3499,99,48666,0.2926556300053778
25,"Cochise County, Arizona",120103,27248,1559,1855,6766,4594,6105,4898,1471,92855,0.22687193492252483
26,"Coconino County, Arizona",136628,46981,1400,1152,4919,7924,7316,22451,1819,89647,0.34386070205228797
27,"Maricopa County, Arizona",4146200,1102622,55566,51665,226237,245415,244526,226370,52843,3043578,0.26593555544836234
28,"Mohave County, Arizona",200733,33876,1285,1670,6668,9718,8887,3892,1756,166857,0.1687614891422935
29,"Navajo County, Arizona",103822,28176,1578,1019,6274,8712,6745,3324,524,75646,0.2713875671822928
30,"Pima County, Arizona",990803,263036,13771,10370,49771,48723,52910,72535,14956,727767,0.2654775974638753
31,"Pinal County, Arizona",416521,97964,5173,5553,23257,22578,22447,16469,2487,318557,0.2351958244602313
32,"Yavapai County, Arizona",222012,44822,2712,2204,8078,8585,8405,13041,1797,177190,0.20188998792858043
