,Label,Total,Enrolled in school,"Enrolled in nursery school, preschool",Enrolled in kindergarten,Enrolled in grade 1 to 4,Enrolled in grade 5 to 8,Enrolled in grade 9 to 12,"Enrolled in college, undergraduate years",Graduate or professional school,Not enrolled in school,Educational ratio
701,"Hidalgo County, Texas",783318,270396,15876,16849,64547,61784,59897,44554,6889,512922,0.34519313995082457
702,"Hunt County, Texas",86119,24231,2385,1083,4904,4663,4947,5519,730,61888,0.2813664812642971
703,"Jefferson County, Texas",241924,57710,4251,3902,13396,11921,12436,9886,1918,184214,0.23854598964964205
704,"Johnson County, Texas",151776,39657,1628,3381,9510,8822,9520,6323,473,112119,0.26128636938646427
705,"Kaufman County, Texas",105986,30203,1285,1370,7763,6962,6942,4493,1388,75783,0.2849716000226445
706,"Liberty County, Texas",75747,19258,836,1712,4032,5452,4895,1671,660,56489,0.25424109205645107
707,"Lubbock County, Texas",281969,96327,4369,4121,15793,16271,15743,33318,6712,185642,0.3416226606470924
708,"McLennan County, Texas",233023,71918,3664,4718,12497,13747,12151,22509,2632,161105,0.3086304785364535
709,"Midland County, Texas",147695,39915,2514,2399,10992,8781,7969,5711,1549,107780,0.27025288601509867
710,"Montgomery County, Texas",496958,134151,9269,7233,28165,35595,30549,20859,2481,362807,0.2699443413729128
711,"Nacogdoches County, Texas",63127,21222,976,1389,3475,3153,2506,9202,521,41905,0.3361794477798723
712,"Nueces County, Texas",342776,91104,4710,5525,19422,20914,19354,16585,4594,251672,0.2657829019534623
713,"Orange County, Texas",80085,19391,2267,733,4623,4075,4624,2907,162,60694,0.24213023662358743
714,"Parker County, Texas",118490,29165,1517,1965,6741,7090,6325,4644,883,89325,0.246138914676344
715,"Potter County, Texas",115150,30822,2296,2363,7985,6321,6230,5039,588,84328,0.26766825879287887
716,"Randall County, Texas",123418,36273,2606,2057,7911,5887,7259,9309,1244,87145,0.2939036445251098
717,"Rockwall County, Texas",84309,25835,1115,755,5678,6321,6277,4488,1201,58474,0.3064322907400159
718,"San Patricio County, Texas",64072,16291,657,1229,5157,3265,3751,1905,327,47781,0.25426083156449
719,"Smith County, Texas",209639,59497,2089,2160,12824,12307,12471,15258,2388,150142,0.2838069252381475
720,"Tarrant County, Texas",1860649,542277,31117,30442,122000,120621,110947,103812,23338,1318372,0.2914450817967279
721,"Taylor County, Texas",129215,37976,1879,2772,7080,6585,6922,10566,2172,91239,0.29389776728707967
722,"Tom Green County, Texas",111808,29381,1224,1407,6125,6196,5422,7364,1643,82427,0.26278083858042356
723,"Travis County, Texas",1106628,312384,22251,16573,60757,56263,50576,81976,23988,794244,0.28228456174974786
724,"Victoria County, Texas",87288,22610,1413,964,5740,5187,4756,4245,305,64678,0.25902758683896987
725,"Walker County, Texas",68773,22068,880,706,3278,2218,2166,12071,749,46705,0.32088174138106523
726,"Webb County, Texas",250660,88134,5629,4190,21828,20208,18944,15347,1988,162526,0.3516077555254129
727,"Wichita County, Texas",127086,33829,2518,2095,7193,6369,6022,8397,1235,93257,0.2661898242135247
728,"Williamson County, Texas",470646,137879,9842,7742,31985,30938,29511,23039,4822,332767,0.29295691453874034
729,"Cache County, Utah",112698,48671,3080,2477,7857,8062,7516,17604,2075,64027,0.4318710181192213
730,"Davis County, Utah",312556,111719,7038,6966,25703,24695,23841,19582,3894,200837,0.35743674733487757
731,"Salt Lake County, Utah",1040157,319953,22814,17922,70063,66898,65198,63262,13796,720204,0.30760067951280434
732,"Utah County, Utah",526431,222160,13163,10959,44117,42371,39401,65874,6275,304271,0.4220116216560195
733,"Washington County, Utah",145596,46307,2755,2193,10280,9653,8979,11441,1006,99289,0.3180513200912113
734,"Weber County, Utah",229403,71361,3719,4095,15117,15892,15236,15013,2289,158042,0.3110726538013888
735,"Chittenden County, Vermont",155188,44312,2687,2064,6084,5949,8010,16515,3003,110876,0.28553754156249195
736,"Albemarle County, Virginia",101640,31143,1945,1066,4920,5517,4699,8693,4303,70497,0.30640495867768597
737,"Arlington County, Virginia",217555,46697,4040,2246,7509,7729,5682,8332,11159,170858,0.21464457263680448
738,"Augusta County, Virginia",72115,14743,631,1068,4107,3021,3244,2273,399,57372,0.20443735699923732
739,"Bedford County, Virginia",74294,16883,775,897,3903,3427,4527,2506,848,57411,0.22724580719842788
740,"Chesterfield County, Virginia",321819,93141,5410,5303,19678,17255,21970,19382,4143,228678,0.289420450625973
741,"Fairfax County, Virginia",1092039,309664,20723,16396,61068,57786,63115,65077,25499,782375,0.2835649642549396
742,"Fauquier County, Virginia",65969,17252,1616,778,3620,3996,4142,2254,846,48717,0.2615167730297564
743,"Frederick County, Virginia",80236,19393,1037,1350,4475,4509,4419,3100,503,60843,0.2416994865147814
744,"Hanover County, Virginia",99068,26648,982,1342,5231,5926,6335,5773,1059,72420,0.2689869584527799
745,"Henrico County, Virginia",310067,79783,5477,3696,14595,19438,18481,12557,5539,230284,0.25730890420457514
746,"James City County, Virginia",70670,18209,774,596,3833,3666,4436,3260,1644,52461,0.25766237441630113
747,"Loudoun County, Virginia",346942,109271,8435,5772,26292,23988,22783,15827,6174,237671,0.3149546610096212
748,"Montgomery County, Virginia",94885,43753,1207,1691,3529,2799,3065,26115,5347,51132,0.46111608789587394
749,"Prince William County, Virginia",425753,133149,6253,9768,27966,25121,27746,25852,10443,292604,0.3127376671450348
750,"Roanoke County, Virginia",91182,22032,1250,1079,3581,4488,6032,4430,1172,69150,0.24162663683621768
751,"Rockingham County, Virginia",75751,17454,624,521,4048,4081,4118,3746,316,58297,0.23041279983102533
752,"Spotsylvania County, Virginia",124425,34582,2096,2377,7332,7302,8211,5818,1446,89843,0.27793449869399234
753,"Stafford County, Virginia",135290,40523,2042,1131,8267,10256,9200,7030,2597,94767,0.2995269421243255
754,"York County, Virginia",64197,17898,1148,662,2061,4610,4906,3310,1201,46299,0.27879807467638673
755,"Alexandria city, Virginia",142617,29524,2649,1052,6387,4011,3894,6685,4846,113093,0.2070159938857219
756,"Chesapeake city, Virginia",224887,62205,2881,3720,11950,14189,13450,12218,3797,162682,0.27660558413781144
757,"Hampton city, Virginia",131696,38461,2222,1613,7358,5895,6601,12038,2734,93235,0.29204379783744383
758,"Lynchburg city, Virginia",75991,30064,1424,691,2862,3816,2911,16728,1632,45927,0.39562579779184376
759,"Newport News city, Virginia",176358,51871,4518,4209,9319,8208,8231,14895,2491,124487,0.2941233173431316
760,"Norfolk city, Virginia",235564,70643,4996,2565,11498,9539,9264,27913,4868,164921,0.2998887775721248
761,"Portsmouth city, Virginia",90995,24117,1285,1324,4548,5030,4030,6291,1609,66878,0.26503654046925657
762,"Richmond city, Virginia",209921,56902,3454,3253,7685,7108,7969,22162,5271,153019,0.2710638764106497
763,"Roanoke city, Virginia",94395,21887,1489,1159,4204,4929,4227,4448,1431,72508,0.23186609460246835
764,"Suffolk city, Virginia",83687,24242,1661,826,5800,4353,5118,4907,1577,59445,0.2896746209088628
765,"Virginia Beach city, Virginia",433240,118616,7513,4533,23046,22338,22219,31759,7208,314624,0.27378820053549996
766,"Benton County, Washington",178449,50011,2618,2218,11585,11144,11396,9653,1397,128438,0.2802537419654915
767,"Chelan County, Washington",71028,18616,1321,880,3179,5861,3645,3028,702,52412,0.2620938221546432
768,"Clallam County, Washington",71226,15037,1508,606,2253,3345,3695,3381,249,56189,0.21111672703787943
769,"Clark County, Washington",434004,121101,7052,7227,25346,26533,26907,24898,3138,312903,0.2790319904885669
770,"Cowlitz County, Washington",98167,22942,1134,1402,4869,5666,5074,4594,203,75225,0.23370379047948903
771,"Franklin County, Washington",81704,25697,962,2171,6045,5950,6356,3787,426,56007,0.31451336531871144
772,"Grant County, Washington",87865,23176,904,1691,5364,6548,6038,2017,614,64689,0.2637682808854493
773,"Grays Harbor County, Washington",68746,15514,1436,875,3046,3725,3135,3137,160,53232,0.22567131178541297
774,"Island County, Washington",76404,13830,969,931,2836,3065,2759,3027,243,62574,0.1810114653683053
775,"King County, Washington",2004375,489356,33581,26647,94095,89720,91647,116564,37102,1515019,0.24414393514187716
776,"Kitsap County, Washington",246386,55894,3898,3142,12587,11560,11732,10980,1995,190492,0.22685542198014497
777,"Lewis County, Washington",72301,15607,688,1186,2908,3941,3852,2791,241,56694,0.21586146802948783
778,"Pierce County, Washington",797778,205264,9448,12074,41714,44291,44327,46934,6476,592514,0.25729463585107637
779,"Skagit County, Washington",116765,27822,1994,1472,6184,5960,6490,4745,977,88943,0.23827345523059135
780,"Snohomish County, Washington",732864,183577,10362,10799,38055,38295,41817,37041,7208,549287,0.2504925879835822
781,"Spokane County, Washington",467444,124926,6420,6075,25693,24381,23074,35697,3586,342518,0.26725340361626204
782,"Thurston County, Washington",256311,63522,3963,3770,12755,13655,12583,13130,3666,192789,0.24783173566487587
783,"Whatcom County, Washington",201889,57980,3002,2377,10761,10059,9732,21131,918,143909,0.28718751393092246
784,"Yakima County, Washington",235713,67303,2460,4123,16981,18332,15813,8770,824,168410,0.2855294362211673
785,"Berkeley County, West Virginia",106670,27907,1764,975,6973,5871,5860,5461,1003,78763,0.261619949376582
786,"Cabell County, West Virginia",93776,24465,971,847,4298,4392,4164,7637,2156,69311,0.26088764715918783
787,"Harrison County, West Virginia",66061,13585,1006,699,3475,2815,2898,1962,730,52476,0.20564326909977143
788,"Kanawha County, West Virginia",183381,38703,2013,2258,8832,8534,8878,6355,1833,144678,0.21105239910350582
789,"Monongalia County, West Virginia",100856,36666,1443,1062,3541,3385,2693,20330,4212,64190,0.3635480288728484
790,"Raleigh County, West Virginia",75473,16729,1466,775,3263,4050,3642,2803,730,58744,0.22165542644389385
791,"Wood County, West Virginia",83471,18979,1158,1068,3957,4250,3907,3463,1176,64492,0.227372380826874
792,"Brown County, Wisconsin",246582,65379,4459,3079,13195,14985,13673,13568,2420,181203,0.26514100785945444
793,"Dane County, Wisconsin",499216,147635,8675,5317,24530,23843,24889,46204,14177,351581,0.2957337104579981
794,"Dodge County, Wisconsin",86291,19468,1371,1348,3877,4608,4766,3226,272,66823,0.2256086961560302
795,"Eau Claire County, Wisconsin",97960,29290,1111,1176,4578,3848,4957,12629,991,68670,0.2989995916700694
796,"Fond du Lac County, Wisconsin",98197,24200,1633,1169,5177,5212,4851,5265,893,73997,0.24644337403382996
797,"Jefferson County, Wisconsin",81464,21867,801,759,4440,4022,4722,6412,711,59597,0.26842531670431113
798,"Kenosha County, Wisconsin",161887,45173,2955,2287,8499,9387,9829,10780,1436,116714,0.27904031824667824
799,"La Crosse County, Wisconsin",114553,34614,1867,1609,5095,5675,5629,13007,1732,79939,0.3021658097125348
800,"Manitowoc County, Wisconsin",77734,16889,907,619,4121,3750,4550,2721,221,60845,0.21726657575835542
801,"Marathon County, Wisconsin",130978,33098,2079,2027,7241,6418,7941,6124,1268,97880,0.25269892653728104
802,"Milwaukee County, Wisconsin",916572,261821,8353,21741,55155,48180,48796,64356,15240,654751,0.2856524091942586
803,"Outagamie County, Wisconsin",175461,47990,2541,2573,9700,9681,11124,10684,1687,127471,0.2735080730190755
804,"Ozaukee County, Wisconsin",85679,23587,1470,684,4052,5316,5118,5468,1479,62092,0.2752949964402012
805,"Portage County, Wisconsin",68149,21512,784,874,2701,3578,3559,9332,684,46637,0.315661271625409
806,"Racine County, Wisconsin",187324,49039,2924,3590,9960,10503,10788,10519,755,138285,0.2617870641241912
807,"Rock County, Wisconsin",154927,40071,1932,2385,10034,7895,8923,7480,1422,114856,0.25864439381127885
808,"St. Croix County, Wisconsin",83940,22438,1303,1732,5324,5447,4975,2984,673,61502,0.2673099833214201
809,"Sheboygan County, Wisconsin",110956,26262,1364,1550,5853,5997,6601,4217,680,84694,0.23668841703017413
810,"Walworth County, Wisconsin",100332,28390,930,1091,4784,6204,5630,8858,893,71942,0.28296057090459675
811,"Washington County, Wisconsin",129263,30693,1556,1997,6485,7696,7675,4726,558,98570,0.237446136945607
812,"Waukesha County, Wisconsin",383843,99186,5692,6450,19207,20874,23638,19332,3993,284657,0.2584025239485936
813,"Winnebago County, Wisconsin",164869,43126,2512,1858,7736,8566,7680,14111,663,121743,0.2615773735511224
814,"Wood County, Wisconsin",71650,17523,1679,797,3416,4082,3930,2398,1221,54127,0.24456385205861828
815,"Laramie County, Wyoming",93076,23703,1312,2014,4935,4786,3868,5421,1367,69373,0.25466285616055695
816,"Natrona County, Wyoming",78767,18851,1120,1269,4088,3400,4068,4051,855,59916,0.2393261137278302
817,"Arecibo Municipio, Puerto Rico",88223,21611,871,654,5018,3648,6290,4141,989,66612,0.24495879759246456
818,"Bayamón Municipio, Puerto Rico",188462,51212,3310,1515,9122,9060,10411,15528,2266,137250,0.2717364773800554
819,"Caguas Municipio, Puerto Rico",133537,34710,2319,1063,6357,6686,7432,9491,1362,98827,0.2599279600410373
820,"Carolina Municipio, Puerto Rico",160530,42625,1838,2291,8153,7406,8291,12127,2519,117905,0.26552669283000063
821,"Guaynabo Municipio, Puerto Rico",89957,22499,1543,676,4297,3786,3975,7065,1157,67458,0.25010838511733385
822,"Mayagüez Municipio, Puerto Rico",79455,24495,882,884,3703,3641,4468,9971,946,54960,0.3082877100245422
823,"Ponce Municipio, Puerto Rico",148521,42425,2978,1738,6965,8553,8104,12354,1733,106096,0.28564984076325906
824,"San Juan Municipio, Puerto Rico",354603,94931,6630,3832,18906,14118,16925,25668,8852,259672,0.26771065106612185
825,"Toa Alta Municipio, Puerto Rico",72539,20884,896,1117,2668,5649,4765,5330,459,51655,0.28790030190656063
826,"Toa Baja Municipio, Puerto Rico",81730,21508,1534,1103,3517,4840,4602,4802,1110,60222,0.2631591826746605
827,"Trujillo Alto Municipio, Puerto Rico",69086,19552,1475,1378,2990,4276,3473,4993,967,49534,0.28300958225979217
