,Label,Total,Enrolled in school,"Enrolled in nursery school, preschool",Enrolled in kindergarten,Enrolled in grade 1 to 4,Enrolled in grade 5 to 8,Enrolled in grade 9 to 12,"Enrolled in college, undergraduate years",Graduate or professional school,Not enrolled in school,Educational ratio
649,"Pickens County, South Carolina",116433,38700,1378,2112,5065,5181,4476,18409,2079,77733,0.3323799953621396
650,"Richland County, South Carolina",388268,121340,7312,5887,19163,19394,21975,38855,8754,266928,0.3125160971287873
651,"Spartanburg County, South Carolina",283563,74075,3872,3987,15814,16806,15277,14551,3768,209488,0.26122942697037344
652,"Sumter County, South Carolina",104120,31088,1678,1443,5283,6620,6615,8283,1166,73032,0.29857856319631193
653,"York County, South Carolina",237392,64702,3254,4107,12900,13481,14852,14186,1922,172690,0.27255341376289005
654,"Minnehaha County, South Dakota",174113,47405,3961,1890,10214,10038,10271,8868,2163,126708,0.2722657124970565
655,"Pennington County, South Dakota",103117,27076,1298,1551,6511,5158,4497,6642,1419,76041,0.2625755210101147
656,"Anderson County, Tennessee",73355,15973,721,965,4281,2903,3847,3019,237,57382,0.21774930134278508
657,"Blount County, Tennessee",122379,27093,627,1394,6315,5830,6874,5296,757,95286,0.2213860221116368
658,"Bradley County, Tennessee",100271,25855,1352,2012,5015,5512,4639,6585,740,74416,0.2578512231851682
659,"Davidson County, Tennessee",639229,161126,8545,8890,31681,28690,30150,38496,14674,478103,0.25206303218408427
660,"Greene County, Tennessee",66277,14358,1496,565,2166,3052,3690,3167,222,51919,0.21663623881587882
661,"Hamilton County, Tennessee",337693,82338,3725,4223,18073,15415,14612,22191,4099,255355,0.24382501265942735
662,"Knox County, Tennessee",433195,114188,6942,4568,21318,20804,20748,33390,6418,319007,0.263594916838837
663,"Madison County, Tennessee",93911,25160,1582,731,5518,4970,4158,6897,1304,68751,0.2679132370009903
664,"Maury County, Tennessee",82329,19519,1205,936,4686,4924,4025,2881,862,62810,0.23708535267038347
665,"Montgomery County, Tennessee",180429,56193,3418,2994,11122,11305,9646,15789,1919,124236,0.3114410654606521
666,"Putnam County, Tennessee",72038,21721,1193,636,3401,3705,3951,8113,722,50317,0.3015214192509509
667,"Robertson County, Tennessee",65480,16043,1143,1207,3979,4009,3611,1784,310,49437,0.24500610873549175
668,"Rutherford County, Tennessee",278001,87081,3834,4685,17313,16400,16521,24560,3768,190920,0.3132398804320848
669,"Sevier County, Tennessee",91832,21639,1059,1063,4341,5000,5251,4457,468,70193,0.2356368150535761
670,"Shelby County, Tennessee",898953,254857,13411,14296,50317,54622,53601,53975,14635,644096,0.28350425439372245
671,"Sullivan County, Tennessee",152841,31930,2103,1287,7606,7148,7251,5650,885,120911,0.20890991291603692
672,"Sumner County, Tennessee",166451,41309,2524,1731,10550,8661,9649,6687,1507,125142,0.24817513862938642
673,"Washington County, Tennessee",121996,34216,1696,1295,5339,6158,5767,10387,3574,87780,0.280468212072527
674,"Williamson County, Tennessee",199020,60163,4257,2679,12696,14993,15569,6803,3166,138857,0.3022962516330017
675,"Wilson County, Tennessee",121288,31883,2700,1723,6971,6721,7638,5175,955,89405,0.26287019325901984
676,"Angelina County, Texas",83805,23395,1507,1496,5661,3756,6357,4128,490,60410,0.2791599546566434
677,"Bastrop County, Texas",74697,20660,510,1081,4817,4841,6438,2121,852,54037,0.27658406629449644
678,"Bell County, Texas",312820,96834,5889,4248,20322,18624,18281,24638,4832,215986,0.3095518189374081
679,"Bexar County, Texas",1773461,526739,26068,27670,115485,105240,101731,125026,25519,1246722,0.2970118880539239
680,"Bowie County, Texas",89938,22596,1705,1512,5667,4358,4813,4289,252,67342,0.25123974293402124
681,"Brazoria County, Texas",323610,91101,4826,6690,21379,19737,19330,16610,2529,232509,0.2815147863168629
682,"Brazos County, Texas",201148,89298,2496,2146,10009,9444,7884,48527,8792,111850,0.4439417742160002
683,"Cameron County, Texas",399187,127007,9478,5328,29917,30519,28968,19947,2850,272180,0.31816416867282754
684,"Collin County, Texas",853676,254831,20599,12259,53727,59059,56302,41289,11596,598845,0.29851020761975267
685,"Comal County, Texas",119358,28596,1303,1034,6578,6680,6968,5512,521,90762,0.23958176242899512
686,"Coryell County, Texas",72534,23719,1663,734,3917,5219,4044,7527,615,48815,0.3270052664957124
687,"Dallas County, Texas",2404206,678605,41328,43858,155804,147138,141411,119149,29917,1725601,0.28225742719217906
688,"Denton County, Texas",723568,221707,12453,11303,44946,47649,42393,51205,11758,501861,0.3064079671848396
689,"Ector County, Texas",145122,41489,3612,2580,9945,10855,8245,4635,1617,103633,0.2858904921376497
690,"Ellis County, Texas",153277,43188,1736,2306,11052,9787,8156,9475,676,110089,0.28176438735100506
691,"El Paso County, Texas",791238,256060,11935,11586,49971,55663,54875,60861,11169,535178,0.323619441937824
692,"Fort Bend County, Texas",659084,204232,13784,11894,44669,44684,43885,36640,8676,454852,0.30987248969782305
693,"Galveston County, Texas",302153,87771,5235,3713,16727,19325,16291,23127,3353,214382,0.2904852839455508
694,"Grayson County, Texas",119039,29879,1483,1937,6895,6580,7179,5111,694,89160,0.25100177252833106
695,"Gregg County, Texas",116998,32648,1950,1797,7889,6221,5794,8602,395,84350,0.27904750508555703
696,"Guadalupe County, Texas",142104,41435,2453,1561,8721,9318,10086,7645,1651,100669,0.2915822214715983
697,"Harris County, Texas",4244856,1261505,83909,73453,270381,267342,254351,251495,60574,2983351,0.2971844038996847
698,"Harrison County, Texas",65128,17133,883,1115,4517,2697,3653,4037,231,47995,0.2630665765876428
699,"Hays County, Texas",178073,63700,2631,2172,11510,10395,8285,24173,4534,114373,0.35771846377609184
700,"Henderson County, Texas",76624,16719,804,1126,4208,3545,4143,2893,0,59905,0.21819534349551054
