,Label,Total,Enrolled in school,"Enrolled in nursery school, preschool",Enrolled in kindergarten,Enrolled in grade 1 to 4,Enrolled in grade 5 to 8,Enrolled in grade 9 to 12,"Enrolled in college, undergraduate years",Graduate or professional school,Not enrolled in school,Educational ratio
51,"Imperial County, California",174342,55489,3772,1296,10293,12779,13053,11335,2961,118853,0.3182767204689633
52,"Kern County, California",857290,262649,10712,11408,59316,61905,59387,51299,8622,594641,0.30637123960386803
53,"Kings County, California",145370,45741,2086,2505,9907,8904,11046,9574,1719,99629,0.3146522666299787
54,"Lake County, California",62007,12257,662,715,2734,3158,3436,1366,186,49750,0.19767123066750528
55,"Los Angeles County, California",9757874,2598036,157996,127929,448186,499598,514612,695151,154564,7159838,0.266250209830543
56,"Madera County, California",150972,43491,3477,2153,8669,9728,11880,7191,393,107481,0.2880732851124712
57,"Marin County, California",252863,59474,3883,3272,9392,14684,13889,10805,3549,193389,0.23520246141191078
58,"Mendocino County, California",84458,20013,1886,1537,4006,3616,4728,3666,574,64445,0.2369580146344929
59,"Merced County, California",263289,85286,3991,4673,16886,20608,16961,19034,3133,178003,0.32392542035557886
60,"Monterey County, California",418118,119314,5147,4645,26101,24756,28314,24520,5831,298804,0.2853596353182594
61,"Napa County, California",135528,36253,2481,1518,5406,7832,7638,10064,1314,99275,0.2674945398736792
62,"Nevada County, California",97032,18099,674,1448,3228,5054,3965,3412,318,78933,0.18652609448429383
63,"Orange County, California",3077611,853783,50229,38393,139452,167313,176024,232372,50000,2223828,0.27741745139330476
64,"Placer County, California",384184,97557,6996,5537,19529,19242,22228,20146,3879,286627,0.2539330112654353
65,"Riverside County, California",2359637,674721,31016,32762,131964,143132,152921,158017,24909,1684916,0.28594271067965116
66,"Sacramento County, California",1487638,401301,24550,20634,76091,81669,85181,97581,15595,1086337,0.2697571586635996
67,"San Bernardino County, California",2081128,616035,30299,31744,125627,125537,135547,142177,25104,1465093,0.2960101444985604
68,"San Diego County, California",3219057,859125,50392,42532,148291,159697,170226,235739,52248,2359932,0.2668871660240872
69,"San Francisco County, California",859039,166024,16251,5273,23024,22798,24522,52093,22063,693015,0.19326712756929545
70,"San Joaquin County, California",723405,210766,13971,11233,45369,47045,49220,38382,5546,512639,0.2913527000781029
71,"San Luis Obispo County, California",277140,79808,3544,2906,9206,12748,11587,37839,1978,197332,0.2879699790719492
72,"San Mateo County, California",743391,182069,13399,9767,34092,35628,35146,41368,12669,561322,0.24491687416178026
73,"Santa Barbara County, California",430716,135797,6546,4956,21940,21862,22312,51919,6262,294919,0.31528199556088005
74,"Santa Clara County, California",1870774,509508,32784,24101,88536,98024,100918,125250,39895,1361266,0.27235144384089155
75,"Santa Cruz County, California",264218,79267,2193,2592,10873,13095,12376,32758,5380,184951,0.3000060556055984
76,"Shasta County, California",174301,41221,2594,1787,9722,7882,8583,9023,1630,133080,0.23649319281013878
77,"Solano County, California",430466,107201,7009,5273,21384,21983,25378,21356,4818,323265,0.24903476697346597
78,"Sonoma County, California",486547,114478,6668,5508,21396,23871,23881,28604,4550,372069,0.23528662184742688
79,"Stanislaus County, California",528163,156491,6215,7694,33322,35557,33178,37064,3461,371672,0.2962930004562985
80,"Sutter County, California",91702,25964,1189,1420,6108,5255,5819,5643,530,65738,0.2831345008832959
81,"Tulare County, California",444134,143446,5617,7180,34349,32326,33265,25316,5393,300688,0.32297910090198
82,"Ventura County, California",821732,219392,13884,12415,39246,44111,48344,54120,7272,602340,0.2669872902600848
83,"Yolo County, California",213080,83409,4137,2301,10829,10024,11950,38560,5608,129671,0.39144452787685374
84,"Yuba County, California",74419,21508,1170,1419,4336,4977,5178,3738,690,52911,0.28901221462260984
85,"Adams County, Colorado",492414,134307,9727,6495,29833,33735,30479,18811,5227,358107,0.2727521963226066
86,"Arapahoe County, Colorado",627216,158146,11340,8923,34918,31079,36607,25586,9693,469070,0.2521396137853626
87,"Boulder County, Colorado",318666,96567,4875,2835,13853,16301,16489,32543,9671,222099,0.3030351527932067
88,"Broomfield County, Colorado",66845,18300,1492,828,3193,3945,4149,3640,1053,48545,0.2737676714787942
89,"Denver County, Colorado",691479,155812,10275,9254,30888,27783,27783,34637,15192,535667,0.22533149958277837
90,"Douglas County, Colorado",331919,93556,7708,4145,19342,21750,24110,12418,4083,238363,0.2818639487344804
91,"El Paso County, Colorado",686359,195754,12092,9143,38395,38668,36413,52210,8833,490605,0.2852064298712481
92,"Jefferson County, Colorado",561719,126230,9452,6284,25239,25859,27016,23894,8486,435489,0.22472090137595488
93,"Larimer County, Colorado",339334,96794,5753,2765,14289,16411,16737,32986,7853,242540,0.28524698379767427
94,"Mesa County, Colorado",148129,36856,1373,1489,9299,6909,7821,8226,1739,111273,0.24881015871301365
95,"Pueblo County, Colorado",161907,40983,3156,1631,7742,8563,10575,8414,902,120924,0.2531267950119513
96,"Weld County, Colorado",301562,83397,5849,5185,18835,18642,16212,14685,3989,218165,0.2765500958343558
97,"Fairfield County, Connecticut",912541,248141,16833,11259,46533,52374,56847,50384,13911,664400,0.2719231245500202
98,"Hartford County, Connecticut",865237,214790,13160,9951,40381,43780,49153,45409,12956,650447,0.2482441227085758
99,"Litchfield County, Connecticut",176788,37300,1655,2039,7687,7566,9248,7851,1254,139488,0.21098717107495985
100,"Middlesex County, Connecticut",159226,37178,2685,1548,6700,6864,7181,9928,2272,122048,0.23349201763531083
101,"New Haven County, Connecticut",831221,212603,11542,9101,37414,40489,46866,51290,15901,618618,0.2557719306899128
102,"New London County, Connecticut",260410,61197,4774,2679,10620,11630,14827,12885,3782,199213,0.23500249606389922
103,"Tolland County, Connecticut",146786,46808,1311,1375,5658,6733,6316,22128,3287,99978,0.318885997302195
104,"Windham County, Connecticut",114802,29404,1301,1190,4967,5591,5547,9225,1583,85398,0.256127942021916
105,"Kent County, Delaware",171524,44294,2115,1770,8153,11068,8253,11301,1634,127230,0.25823791422774656
106,"New Castle County, Delaware",543278,137341,8991,6123,26393,28654,28874,31520,6786,405937,0.25280059196212623
107,"Sussex County, Delaware",222264,41864,2257,1645,9903,11044,8745,7014,1256,180400,0.18835258971313393
108,"District of Columbia, District of Columbia",675256,173303,14729,8633,26757,25457,25249,48016,24462,501953,0.25664784911204047
109,"Alachua County, Florida",262425,94729,3969,1877,11293,9904,9293,43791,14602,167696,0.3609755168143279
110,"Bay County, Florida",179105,41401,3329,2696,9565,8022,8610,7886,1293,137704,0.23115490913151504
111,"Brevard County, Florida",580420,124144,10333,6036,22349,27501,27154,24847,5924,456276,0.21388649598566556
112,"Broward County, Florida",1879135,472715,31625,21451,89653,98426,99005,103018,29537,1406420,0.2515598932487554
113,"Charlotte County, Florida",181508,23786,1057,1141,4370,4841,6146,5754,477,157722,0.13104656544064172
114,"Citrus County, Florida",145301,22920,1497,711,5105,4933,6393,3777,504,122381,0.15774151588770896
115,"Clay County, Florida",209048,54879,3093,3761,11020,12553,11518,10380,2554,154169,0.2625186560024492
116,"Collier County, Florida",368949,65778,2790,2437,13389,17893,15802,12251,1216,303171,0.17828480359074017
117,"Columbia County, Florida",68315,15652,2085,1118,3707,2998,2957,2384,403,52663,0.2291151284490961
118,"Duval County, Florida",909649,224754,12719,13528,49044,44806,43282,49744,11631,684895,0.24707771898831307
119,"Escambia County, Florida",302894,76195,4531,4490,12675,15679,15712,20992,2116,226699,0.2515566501812515
120,"Flagler County, Florida",110652,22320,2224,1294,3853,4235,5727,4741,246,88332,0.20171348009977225
121,"Hernando County, Florida",185999,35912,1971,2106,6962,8735,8880,6265,993,150087,0.19307630686186486
122,"Highlands County, Florida",103151,16934,870,556,4294,4009,4114,2517,574,86217,0.164167094841543
123,"Hillsborough County, Florida",1386124,359633,23155,16389,73434,70642,72525,82128,21360,1026491,0.25945225679665024
124,"Indian River County, Florida",153126,27929,2637,1001,6227,5763,5258,5876,1167,125197,0.18239227825450935
125,"Lake County, Florida",345424,72400,3837,5240,14204,16952,17185,11366,3616,273024,0.20959748019824911
126,"Lee County, Florida",733839,144204,7785,8707,27513,30515,34511,27990,7183,589635,0.19650631814335298
127,"Leon County, Florida",284574,102660,5749,3602,12552,11879,13262,46456,9160,181914,0.36074975226127476
128,"Manatee County, Florida",383776,74843,5268,2295,17211,17508,16319,12885,3357,308933,0.19501740598682565
129,"Marion County, Florida",350745,68559,3625,4431,13455,14000,19327,11209,2512,282186,0.19546679211392892
130,"Martin County, Florida",157020,27995,1485,840,4774,7517,7826,4407,1146,129025,0.17828938988663864
131,"Miami-Dade County, Florida",2667469,676289,51009,30938,119775,128506,133988,167151,44922,1991180,0.25353209353135875
132,"Monroe County, Florida",72709,11678,463,192,2095,2980,2919,2234,795,61031,0.16061285397956238
133,"Nassau County, Florida",83541,17900,1003,1103,3036,4875,4272,2899,712,65641,0.21426604900587734
134,"Okaloosa County, Florida",198913,48823,2646,2561,10402,11537,9694,9308,2675,150090,0.24544901539869188
135,"Orange County, Florida",1333327,373061,23689,16314,67467,69027,68298,104641,23625,960266,0.27979707903612544
136,"Osceola County, Florida",354908,98119,5989,4517,20493,20126,23045,20036,3913,256789,0.27646319609588965
137,"Palm Beach County, Florida",1444359,325319,25339,15433,59320,65393,70724,74196,14914,1119040,0.22523416962126452
138,"Pasco County, Florida",523770,115826,6972,6136,25265,24859,24175,23268,5151,407944,0.22113904958283215
139,"Pinellas County, Florida",950175,173255,12342,9951,36662,31701,37347,35939,9313,776920,0.18234009524561265
140,"Polk County, Florida",683195,155453,9253,10337,33622,37367,35516,24887,4471,527742,0.22753825774486056
141,"Putnam County, Florida",71545,15785,917,938,3690,3689,3834,2270,447,55760,0.22063037249283668
142,"St. Johns County, Florida",248543,65807,4417,3481,12327,13081,16002,13776,2723,182736,0.2647710858885585
143,"St. Lucie County, Florida",312871,72487,3839,5233,13614,13318,16810,15699,3974,240384,0.2316833455321842
144,"Santa Rosa County, Florida",174255,43664,3732,1993,8035,9361,9388,9183,1972,130591,0.2505753063039798
145,"Sarasota County, Florida",418893,64419,3420,2007,13345,13471,17852,12446,1878,354474,0.15378390185560514
146,"Seminole County, Florida",452533,113702,7218,5754,19110,22732,24157,28300,6431,338831,0.25125681442016384
147,"Sumter County, Florida",127697,11371,214,495,2176,2193,3184,2880,229,116326,0.08904672780096635
148,"Volusia County, Florida",533265,113661,6143,3173,22039,24414,24087,28348,5457,419604,0.2131416837782341
149,"Walton County, Florida",68997,14348,740,420,4096,3711,3074,1440,867,54649,0.20795107033639143
150,"Barrow County, Georgia",78351,19666,1328,953,4371,4311,5476,2758,469,58685,0.25099871092902454
151,"Bartow County, Georgia",102614,23847,1338,893,4958,5870,7071,3202,515,78767,0.2323951897401914
152,"Bibb County, Georgia",146970,42004,2428,1995,8193,9720,7687,9904,2077,104966,0.2857998230931483
153,"Bulloch County, Georgia",75343,29794,862,777,2892,4467,2860,16516,1420,45549,0.39544483230028005
154,"Carroll County, Georgia",114601,36297,2560,1908,7491,6186,6550,10903,699,78304,0.31672498494777535
155,"Catoosa County, Georgia",65598,14429,1108,384,3084,4097,3196,2367,193,51169,0.21996097441995183
156,"Chatham County, Georgia",278954,77829,4386,4733,13946,13481,12938,22191,6154,201125,0.2790029897402439
157,"Cherokee County, Georgia",246141,65285,5165,2458,13966,15757,14095,11146,2698,180856,0.26523415440743314
158,"Clarke County, Georgia",123498,51780,1053,1583,4763,4960,4360,28291,6770,71718,0.4192780449885828
159,"Clayton County, Georgia",275961,83959,4483,5556,19317,16334,17338,18227,2704,192002,0.3042422661173137
160,"Cobb County, Georgia",728647,200208,12783,9281,38892,39618,45911,41610,12113,528439,0.2747667937972708
161,"Columbia County, Georgia",148976,45090,3013,2216,9065,10093,9366,7336,4001,103886,0.30266620126731825
162,"Coweta County, Georgia",141874,38759,2221,2093,6689,8753,10603,5517,2883,103115,0.2731931150175508
163,"DeKalb County, Georgia",725751,191134,17538,9666,41385,35906,35911,35200,15528,534617,0.26336029850458353
164,"Dougherty County, Georgia",88078,28527,1931,1484,5453,4594,5519,8293,1253,59551,0.3238833760984582
165,"Douglas County, Georgia",141082,42233,2730,829,8714,9338,10163,9158,1301,98849,0.299350732198296
166,"Fayette County, Georgia",111659,32580,2401,916,5728,7303,9042,5235,1955,79079,0.2917812267707932
167,"Floyd County, Georgia",93678,21139,881,958,4344,5510,4224,5100,122,72539,0.22565597045197378
168,"Forsyth County, Georgia",228810,68972,5890,4067,14297,16528,15766,9895,2529,159838,0.30143787421878415
169,"Fulton County, Georgia",1012457,276189,17023,10804,52122,50416,57353,68022,20449,736268,0.2727908444506779
170,"Glynn County, Georgia",82410,19379,1369,40,5745,3634,4969,2600,1022,63031,0.23515350078873923
171,"Gwinnett County, Georgia",897334,268458,15028,15140,53588,59696,61825,49100,14081,628876,0.29917288322965585
172,"Hall County, Georgia",194880,52710,3063,1746,11515,12327,12896,9984,1179,142170,0.2704741379310345
173,"Henry County, Georgia",223896,61560,1886,2657,16143,13449,14793,9809,2823,162336,0.27494908350305497
174,"Houston County, Georgia",150029,44440,2344,1878,9154,10480,7836,9952,2796,105589,0.29620939951609354
175,"Jackson County, Georgia",68658,18755,1321,1246,3331,4614,4927,2880,436,49903,0.27316554516589475
176,"Lowndes County, Georgia",111474,33714,2234,1326,7799,5385,5462,10467,1041,77760,0.30243823671887615
177,"Muscogee County, Georgia",186497,55980,4010,2217,11017,10959,10097,14071,3609,130517,0.30016568631130797
178,"Newton County, Georgia",105354,30369,2547,1308,7123,6325,9235,2973,858,74985,0.28825673443817984
179,"Paulding County, Georgia",158571,44141,2700,1314,9145,10915,11481,7300,1286,114430,0.2783674190110424
180,"Richmond County, Georgia",193093,49678,3181,3228,9028,11501,8946,10486,3308,143415,0.25727499184330865
181,"Rockdale County, Georgia",88366,26406,2072,1071,6058,5099,5430,5508,1168,61960,0.2988253400629201
182,"Spalding County, Georgia",64356,16041,1990,1163,3440,3633,4021,1411,383,48315,0.24925414879731494
183,"Troup County, Georgia",67479,19800,1103,616,3645,5278,3714,4538,906,47679,0.2934246209931979
184,"Walker County, Georgia",67112,15292,837,653,4002,3027,4251,2134,388,51820,0.22785790916676602
185,"Walton County, Georgia",90064,23721,1072,1396,5529,4980,6497,3857,390,66343,0.26337937466690353
186,"Whitfield County, Georgia",100082,26830,1168,1129,6291,6131,6995,4560,556,73252,0.26808017425710917
187,"Hawaii County, Hawaii",194654,44218,3226,2041,11615,9252,9118,6499,2467,150436,0.2271620413657053
188,"Honolulu County, Hawaii",942992,232721,15773,9311,45483,46139,41629,61345,13041,710271,0.24679000458116293
189,"Kauai County, Hawaii",69592,13829,1061,1189,2629,4084,3013,1754,99,55763,0.19871536958271066
190,"Maui County, Hawaii",162815,34323,2468,1852,7095,8638,7271,5668,1331,128492,0.2108098148205018
191,"Ada County, Idaho",456159,117495,5593,5707,21972,27884,27691,22756,5892,338664,0.2575746614667254
192,"Bannock County, Idaho",83960,25771,1128,1084,5002,5474,5145,6115,1823,58189,0.3069437827536922
193,"Bonneville County, Idaho",110824,34715,2242,1716,7767,9251,7259,5553,927,76109,0.313244423590558
194,"Canyon County, Idaho",213928,59376,2345,3215,13729,13235,14740,10901,1211,154552,0.27755132567966795
195,"Kootenai County, Idaho",157109,35898,3053,2452,7999,8115,7651,5743,885,121211,0.22849104761662287
196,"Twin Falls County, Idaho",81834,21488,749,1077,4750,5110,5524,3717,561,60346,0.26258034557763277
197,"Adams County, Illinois",62883,13750,1387,1033,2848,3304,3231,1617,330,49133,0.21866005120620835
198,"Champaign County, Illinois",204032,76284,3552,2721,6937,10054,8111,32277,12632,127748,0.37388252823086576
199,"Cook County, Illinois",4989769,1260762,88155,59817,241763,252154,266198,253051,99624,3729007,0.2526694121511437
200,"DeKalb County, Illinois",100630,35729,1397,644,4449,6219,5806,14629,2585,64901,0.35505316506012125
201,"DuPage County, Illinois",896498,240456,19266,11533,46716,46806,50952,49288,15895,656042,0.2682169954645744
202,"Kane County, Illinois",514415,141362,8749,9020,28533,30513,35244,24433,4870,373053,0.27480147351846274
203,"Kankakee County, Illinois",106559,28310,2127,1200,5521,5411,6283,6765,1003,78249,0.2656744151127544
204,"Kendall County, Illinois",122283,39920,2846,2989,8039,7922,9902,5844,2378,82363,0.32645584423018736
205,"Lake County, Illinois",678310,186341,12606,6451,35619,42957,44612,33443,10653,491969,0.2747136265129513
206,"LaSalle County, Illinois",105865,22062,1526,1401,4928,5453,5090,3168,496,83803,0.20839748736598498
207,"McHenry County, Illinois",298412,74897,5094,4012,13849,17744,18995,12633,2570,223515,0.25098521507177995
208,"McLean County, Illinois",167053,58276,3119,1887,8145,7680,10155,24648,2642,108777,0.3488473717921857
209,"Macon County, Illinois",101490,23638,1878,1162,4717,6073,5323,3488,997,77852,0.23290964627056854
210,"Madison County, Illinois",254822,64724,4801,3158,13817,11409,12585,15376,3578,190098,0.2539969076453367
211,"Peoria County, Illinois",172904,44907,3009,2095,8704,10547,8711,9258,2583,127997,0.25972215796048675
212,"Rock Island County, Illinois",138918,35201,2780,1607,6478,7471,7552,7590,1723,103717,0.2533940885990296
213,"St. Clair County, Illinois",251287,66925,4253,2234,13524,15298,14164,13217,4235,184362,0.26632893862396384
214,"Sangamon County, Illinois",188675,46421,3044,2395,10008,9992,10759,7779,2444,142254,0.24603683582880614
215,"Tazewell County, Illinois",127202,30054,1776,1291,7248,6590,6668,5515,966,97148,0.23626986997059796
216,"Vermilion County, Illinois",74118,16607,1089,589,3922,4226,4004,2496,281,57511,0.22406163145254865
217,"Will County, Illinois",668736,186861,11649,7905,34489,41169,47649,35889,8111,481875,0.2794241673844387
218,"Williamson County, Illinois",64872,16160,1198,824,3727,3202,3396,3314,499,48712,0.24910593168084844
219,"Winnebago County, Illinois",273019,63549,3367,4681,12912,15373,14156,10554,2506,209470,0.23276402008651412
220,"Allen County, Indiana",359928,94706,7432,4427,21548,21760,20998,14397,4144,265222,0.26312484719166057
221,"Bartholomew County, Indiana",79414,19349,1226,1013,5391,3586,4474,3191,468,60065,0.24364721585614627
222,"Boone County, Indiana",64274,17113,1875,1352,3733,3579,3943,1891,740,47161,0.2662507390235554
223,"Clark County, Indiana",113214,25694,1364,1853,5392,6984,5513,3761,827,87520,0.2269507304750296
224,"Delaware County, Indiana",110929,34645,1721,1508,5199,3594,4383,16920,1320,76284,0.31231688737841323
225,"Elkhart County, Indiana",194840,47294,2043,2925,11637,14398,10494,4877,920,147546,0.2427324984602751
226,"Floyd County, Indiana",74816,18412,848,781,3554,4442,4307,4054,426,56404,0.24609709153122328
227,"Grant County, Indiana",64018,16715,853,752,3027,3414,2419,6008,242,47303,0.2610984410634509
228,"Hamilton County, Indiana",317206,91322,6585,4675,19427,21540,22492,11248,5355,225884,0.28789493263053034
229,"Hancock County, Indiana",73174,17416,1190,1417,2851,4350,4461,2151,996,55758,0.2380080356410747
230,"Hendricks County, Indiana",160913,42038,2309,3375,10004,7731,11228,5443,1948,118875,0.2612467606719159
231,"Howard County, Indiana",80504,17304,1325,540,4771,3834,4219,2295,320,63200,0.21494584120043725
232,"Johnson County, Indiana",150379,42480,1680,2373,8422,10768,8439,8974,1824,107899,0.2824862514047839
233,"Kosciusko County, Indiana",76724,18476,575,446,5336,4277,4761,2527,554,58248,0.24081121943590011
234,"Lake County, Indiana",468524,117020,7479,6383,24441,25816,28301,21650,2950,351504,0.24976308577575534
235,"LaPorte County, Indiana",106258,21195,1566,1600,4933,5182,4300,3007,607,85063,0.19946733422424665
236,"Madison County, Indiana",124166,27913,1579,1278,5430,7272,6790,4818,746,96253,0.22480389156451847
237,"Marion County, Indiana",911869,235468,11894,11995,51820,53030,49777,44284,12668,676401,0.2582256881196751
238,"Monroe County, Indiana",144071,59375,2068,989,4801,4883,6138,32706,7790,84696,0.41212318926085056
239,"Morgan County, Indiana",67963,15658,967,685,3899,3648,3325,2868,266,52305,0.23039006518252578
240,"Porter County, Indiana",164483,40211,3011,2508,7453,9114,9979,6594,1552,124272,0.24446903327395536
241,"St. Joseph County, Indiana",260625,73822,4988,3594,14113,14415,13829,17928,4955,186803,0.2832498800959233
242,"Tippecanoe County, Indiana",186119,73001,2235,1982,7772,8834,10276,32842,9060,113118,0.3922275533395301
243,"Vanderburgh County, Indiana",174804,44339,3018,1303,8804,9917,8346,11472,1479,130465,0.253649802064026
244,"Vigo County, Indiana",103355,28418,951,1453,3352,5648,4716,10930,1368,74937,0.274955251318272
245,"Wayne County, Indiana",63355,15234,1217,683,2957,3439,3373,3017,548,48121,0.2404545813274406
246,"Black Hawk County, Iowa",127722,39193,2538,1535,5732,7059,6122,14445,1762,88529,0.30686177792392855
247,"Dallas County, Iowa",85760,24591,1876,1844,6226,5624,5609,2527,885,61169,0.2867420708955224
248,"Dubuque County, Iowa",93029,23550,2357,1563,3671,4745,4477,5569,1168,69479,0.25314686818088983
249,"Johnson County, Iowa",145637,51049,2606,2106,5868,7065,6160,21465,5779,94588,0.3505221887295124
250,"Linn County, Iowa",217352,54302,3908,2662,10926,12978,11893,10315,1620,163050,0.24983437005410578
251,"Polk County, Iowa",467033,122628,7138,6725,25249,27454,27433,21766,6863,344405,0.2625681697010704
252,"Pottawattamie County, Iowa",90775,22692,1659,920,4648,5312,5509,4026,618,68083,0.24998072156430734
253,"Scott County, Iowa",165598,41609,2412,1984,8672,10171,8936,7635,1799,123989,0.2512651118974867
254,"Story County, Iowa",94830,42485,1166,1054,3634,2928,3142,25489,5072,52345,0.44801223241590216
255,"Woodbury County, Iowa",99212,26509,1396,1902,5387,6903,5480,5029,412,72703,0.267195500544289
256,"Butler County, Kansas",64818,19214,1461,550,4333,4563,3879,3466,962,45604,0.29643000401123143
257,"Douglas County, Kansas",117424,45175,1956,1011,4313,5891,4584,21206,6214,72249,0.3847169232865513
258,"Johnson County, Kansas",576306,155171,11863,8653,31184,33196,35125,24776,10374,421135,0.2692510575978734
259,"Leavenworth County, Kansas",78426,20280,1252,1069,5029,4375,4521,2836,1198,58146,0.2585877132583582
260,"Riley County, Kansas",71135,30349,996,554,2032,3239,2039,17609,3880,40786,0.42663948829690024
261,"Sedgwick County, Kansas",493156,136976,8777,6580,29092,29906,29331,25455,7835,356180,0.27775389531912825
