,Label,Total,Enrolled in school,"Enrolled in nursery school, preschool",Enrolled in kindergarten,Enrolled in grade 1 to 4,Enrolled in grade 5 to 8,Enrolled in grade 9 to 12,"Enrolled in college, undergraduate years",Graduate or professional school,Not enrolled in school,Educational ratio
0,"Baldwin County, Alabama",212477,45480,3065,1449,8731,14523,11209,5427,1076,166997,0.2140466968189498
1,"Calhoun County, Alabama",109744,26133,1563,1484,6095,5129,4972,5960,930,83611,0.23812691354424842
2,"Cullman County, Alabama",80773,17743,734,547,4461,4406,4571,2619,405,63030,0.2196649870625085
3,"DeKalb County, Alabama",69368,15407,386,700,4045,4268,4354,1490,164,53961,0.2221052935070926
4,"Elmore County, Alabama",79270,18156,1057,546,3730,3673,5128,3110,912,61114,0.22903998990790966
5,"Etowah County, Alabama",99030,21227,1066,1299,5410,4805,4628,3533,486,77803,0.21434918711501566
6,"Houston County, Alabama",101281,24716,1052,1723,5310,5902,5367,4425,937,76565,0.24403392541542837
7,"Jefferson County, Alabama",633732,160745,11287,8847,35752,30606,32041,31412,10800,472987,0.25364822985110425
8,"Lauderdale County, Alabama",88952,18968,1119,742,3331,3975,3828,5038,935,69984,0.21323860059357855
9,"Lee County, Alabama",158919,57747,3126,1152,5561,10855,8227,23440,5386,101172,0.3633737941970438
10,"Limestone County, Alabama",94457,26040,1302,1584,4883,5972,6757,4039,1503,68417,0.27568099770265836
11,"Madison County, Alabama",353561,95024,4511,6562,17957,15807,19310,24795,6082,258537,0.2687626746162614
12,"Marshall County, Alabama",91278,22903,849,1234,5469,5365,5946,3138,902,68375,0.2509147877911435
13,"Mobile County, Alabama",398503,98278,6893,4922,22011,21129,22358,16839,4126,300225,0.246617967744283
14,"Montgomery County, Alabama",216589,56087,2222,3019,11440,11854,12842,12091,2619,160502,0.2589559026543361
15,"Morgan County, Alabama",114731,27914,1531,1920,7120,5306,6416,5068,553,86817,0.24329954415110128
16,"St. Clair County, Alabama",85782,20625,1494,1808,4370,5266,4321,3024,342,65157,0.24043505630551865
17,"Shelby County, Alabama",208523,55117,3143,3256,11827,9516,12192,11016,4167,153406,0.26432096219601675
18,"Talladega County, Alabama",77179,17253,532,562,4237,3978,4478,3017,449,59926,0.2235452649036655
19,"Tuscaloosa County, Alabama",202348,63884,3283,2579,8988,10532,9520,24507,4475,138464,0.3157135232371953
20,"Walker County, Alabama",61914,13814,1107,1238,2811,3060,3279,1880,439,48100,0.22311593500662208
21,"Anchorage Municipality, Alaska",279911,77592,5225,3469,16671,15117,14966,17571,4573,202319,0.27720239647602274
22,"Fairbanks North Star Borough, Alaska",95049,27102,1413,1659,4453,5714,4314,8140,1409,67947,0.28513713979105515
23,"Matanuska-Susitna Borough, Alaska",103251,26576,1453,1072,6105,6435,7001,3604,906,76675,0.2573921802210148
24,"Apache County, Arizona",69206,18890,610,1468,4930,4623,4861,2305,93,50316,0.2729532121492356
25,"Cochise County, Arizona",123051,28564,1755,1284,7311,5643,6385,5571,615,94487,0.23213139267458208
26,"Coconino County, Arizona",139222,49852,1657,2093,5945,7986,6169,23755,2247,89370,0.35807559150134316
27,"Maricopa County, Arizona",4245374,1109890,53212,54502,229102,247831,237397,232136,55710,3135484,0.2614351527097495
28,"Mohave County, Arizona",204416,32899,1505,1855,8566,7552,6323,6374,724,171517,0.16094141358797745
29,"Navajo County, Arizona",106204,26271,981,772,7241,8152,6031,2760,334,79933,0.24736356446084892
30,"Pima County, Arizona",1002894,260232,11508,9898,46300,54855,51001,74174,12496,742662,0.25948106180713015
31,"Pinal County, Arizona",432621,102825,4653,6242,22408,23558,27082,16189,2693,329796,0.23767916952713808
32,"Yavapai County, Arizona",226418,41059,1856,2003,8117,9668,8500,9775,1140,185359,0.18134158944960208
33,"Yuma County, Arizona",202996,54272,3092,3676,11202,11677,12495,11279,851,148724,0.2673550217738281
34,"Benton County, Arkansas",261573,66534,4898,3891,16155,16683,14969,8179,1759,195039,0.25436111525272104
35,"Craighead County, Arkansas",104311,30858,2532,1000,7262,4762,5832,6587,2883,73453,0.29582690224425034
36,"Faulkner County, Arkansas",120041,34865,1405,1561,6821,5858,5107,11997,2116,85176,0.29044243216900895
37,"Garland County, Arkansas",95349,19698,924,874,3929,5268,4110,3952,641,75651,0.206588427775855
38,"Jefferson County, Arkansas",65450,15455,1031,807,4131,2566,3465,3019,436,49995,0.2361344537815126
39,"Lonoke County, Arkansas",71092,18089,929,1188,3170,5508,4216,2669,409,53003,0.2544449445788556
40,"Pulaski County, Arkansas",377587,90421,6632,4464,20348,18801,19670,14622,5884,287166,0.23947063855482312
41,"Saline County, Arkansas",117478,28656,2118,886,6453,7246,6828,4113,1012,88822,0.24392652241270707
42,"Sebastian County, Arkansas",123377,29279,2242,1410,7703,6561,6231,4533,599,94098,0.2373132755700009
43,"Washington County, Arkansas",227673,73297,4572,3391,12039,12892,11706,25241,3456,154376,0.3219397996249006
44,"White County, Arkansas",75689,21963,829,737,3485,4477,4791,5985,1659,53726,0.2901742657453527
45,"Alameda County, California",1610760,413190,27610,21704,71158,78742,74662,105968,33346,1197570,0.256518661998063
46,"Butte County, California",223274,64739,3485,2314,9013,10436,11787,24649,3055,158535,0.2899531517328484
47,"Contra Costa County, California",1110553,293014,14530,13737,55756,61793,67162,68479,11557,817539,0.2638451294085019
48,"El Dorado County, California",186254,41957,2670,2785,6569,8217,12259,7605,1852,144297,0.22526764525862533
49,"Fresno County, California",950267,293461,15552,18486,59263,65884,63491,60601,10184,656806,0.30881952125034334
50,"Humboldt County, California",131923,35093,2445,1432,7046,4535,5507,11894,2234,96830,0.26601123382579234
