,Label,Total,Enrolled in school,"Enrolled in nursery school, preschool",Enrolled in kindergarten,Enrolled in grade 1 to 4,Enrolled in grade 5 to 8,Enrolled in grade 9 to 12,"Enrolled in college, undergraduate years",Graduate or professional school,Not enrolled in school,Educational ratio
32,"Yavapai County, Arizona",220564,44627,390,2286,9528,8750,7971,13289,2413,175937,0.202331296131735
33,"Yuma County, Arizona",196316,51630,2490,3220,12298,10556,12082,9375,1609,144686,0.2629943560382241
34,"Benton County, Arkansas",247162,64282,3539,3486,16076,15454,14379,9700,1648,182880,0.2600804330762819
35,"Craighead County, Arkansas",101917,28997,1531,1784,6447,5371,5480,6922,1462,72920,0.2845158315099542
36,"Faulkner County, Arkansas",118108,36968,2830,1081,6304,6360,6478,12060,1855,81140,0.3130016594980865
37,"Garland County, Arkansas",94102,18929,611,1007,5892,2795,4667,3281,676,75173,0.2011540668636161
38,"Jefferson County, Arkansas",67596,17710,1139,961,3149,3701,4453,3909,398,49886,0.2619977513462335
39,"Lonoke County, Arkansas",69276,17550,1428,436,3585,4513,4409,2399,780,51726,0.25333448813441883
40,"Pulaski County, Arkansas",378049,97875,6168,8203,21000,17609,20839,17853,6203,280174,0.25889501096418716
41,"Saline County, Arkansas",114561,27505,2130,1074,6570,6447,6201,4391,692,87056,0.24009043217150688
42,"Sebastian County, Arkansas",122982,32746,1780,1789,7258,6483,7472,7280,684,90236,0.2662666081215137
43,"Washington County, Arkansas",218685,69563,3435,3397,12075,13414,10638,22405,4199,149122,0.31809680590804124
44,"White County, Arkansas",75890,22629,1056,964,3484,5235,3811,6349,1730,53261,0.2981815786006061
45,"Alameda County, California",1590501,419256,27772,20422,75558,75105,75106,110318,34975,1171245,0.2635999600125998
46,"Butte County, California",220040,67596,3446,3040,10988,8887,11904,27729,1602,152444,0.30719869114706416
47,"Contra Costa County, California",1099760,298733,21010,15555,57367,60452,63902,69073,11374,801027,0.2716347203026115
48,"El Dorado County, California",180829,42167,2618,2234,9737,8107,8930,8170,2371,138662,0.2331871547152282
49,"Fresno County, California",933879,295013,16228,17114,59138,65455,61692,66319,9067,638866,0.3159006680737012
50,"Humboldt County, California",132729,36601,1816,1334,5832,6404,6347,13524,1344,96128,0.2757573702807977
51,"Imperial County, California",171575,56865,3780,4239,9343,11309,12982,14225,987,114710,0.3314294040507067
52,"Kern County, California",841501,253542,10325,13870,55159,59998,57644,49849,6697,587959,0.3012973246615274
53,"Kings County, California",142818,44026,1890,1971,8420,9734,13039,8564,408,98792,0.30826646501141314
54,"Lake County, California",62618,14830,1163,561,4029,2683,2838,3327,229,47788,0.23683285956114855
55,"Los Angeles County, California",9769241,2676796,162028,132546,472778,485876,549185,731543,142840,7092445,0.2740024532100293
56,"Madera County, California",146845,41509,1140,2912,8530,9565,10127,8468,767,105336,0.2826722053866322
57,"Marin County, California",252768,62074,4331,2841,11963,13557,12300,14158,2924,190694,0.2455769717685783
58,"Mendocino County, California",84587,20219,1034,911,4367,4916,4745,3608,638,64368,0.2390320025535839
59,"Merced County, California",256493,89581,6316,5819,18039,15833,19714,21726,2134,166912,0.34925319599365284
60,"Monterey County, California",416770,123204,5733,6505,24745,25863,27000,28902,4456,293566,0.29561628716078414
61,"Napa County, California",137717,34181,1318,2682,5273,6940,6754,9585,1629,103536,0.24819739030039864
62,"Nevada County, California",97008,21143,1492,576,3556,4058,5816,4945,700,75865,0.21795109681675737
63,"Orange County, California",3063415,854437,51479,39706,146444,162874,175404,230555,47975,2208978,0.2789165033141119
64,"Placer County, California",368317,95240,6531,5282,17599,21089,20592,20507,3640,273077,0.2585816022610957
65,"Riverside County, California",2295368,674316,28388,34002,132593,141412,151765,157410,28746,1621052,0.29377250183848513
66,"Sacramento County, California",1454167,395355,21895,21876,75040,84467,82297,91460,18320,1058812,0.27187730157540363
67,"San Bernardino County, California",2054506,607375,30888,31035,122056,129967,140045,131232,22152,1447131,0.29563067715548164
68,"San Diego County, California",3188012,883250,52147,45101,149943,162866,167407,253173,52613,2304762,0.277053536812283
69,"San Francisco County, California",844623,160135,11497,8605,22559,23503,22914,49598,21459,684488,0.18959346359263246
70,"San Joaquin County, California",705043,203777,10416,14134,44608,44484,46007,38418,5710,501266,0.2890277614273172
71,"San Luis Obispo County, California",274685,75881,2988,2139,11006,12526,11143,33435,2644,198804,0.2762473378597302
72,"San Mateo County, California",737655,184090,13275,9279,34945,38864,35509,42047,10171,553565,0.24956110919061078
73,"Santa Barbara County, California",429024,134353,7403,5254,22373,21201,21879,51107,5136,294671,0.31315963675691805
74,"Santa Clara County, California",1850653,515762,34735,24664,95260,98772,98009,124194,40128,1334891,0.2786918995619384
75,"Santa Cruz County, California",266174,78707,3087,2428,12054,11238,13653,32326,3921,187467,0.2956975512258898
76,"Shasta County, California",172417,42052,2157,2693,7861,9389,8283,9694,1975,130365,0.24389706351461862
77,"Solano County, California",424338,108484,5851,4837,19992,21189,24283,27851,4481,315854,0.2556546903647564
78,"Sonoma County, California",488063,120434,5947,6809,20327,23092,23452,34994,5813,367629,0.2467591274077322
79,"Stanislaus County, California",518319,152045,8441,8336,30283,34922,34893,31296,3874,366274,0.2933425168670259
80,"Sutter County, California",92881,26489,852,1735,5607,6140,6443,5026,686,66392,0.2851928812135959
81,"Tulare County, California",437827,139007,7767,9273,30520,31945,32840,24743,1919,298820,0.3174929823880208
82,"Ventura County, California",820378,229106,13786,12941,44104,44468,50540,54053,9214,591272,0.2792688248587846
83,"Yolo County, California",209494,80588,3480,3036,10103,10284,9694,37380,6611,128906,0.38467927482409997
84,"Yuba County, California",72603,22059,2551,1177,5009,4526,3200,4601,995,50544,0.303830420230569
85,"Adams County, Colorado",476841,130029,6550,8964,29132,31904,29709,20082,3688,346812,0.2726883804035307
86,"Arapahoe County, Colorado",613003,160173,9767,9110,35384,33696,34071,29312,8833,452830,0.26129235909122794
87,"Boulder County, Colorado",313388,96592,5425,3170,14802,14626,15606,34131,8832,216796,0.3082185661225063
88,"Broomfield County, Colorado",64441,17233,1186,674,3558,3948,3791,3010,1066,47208,0.26742291398333357
89,"Denver County, Colorado",663517,154354,9318,8433,32638,29402,24792,34642,15129,509163,0.23263006072188053
90,"Douglas County, Colorado",318591,94993,6823,4863,21377,23173,21590,11668,5499,223598,0.29816598711200254
91,"El Paso County, Colorado",660895,185824,10158,9523,40089,35644,37479,44052,8879,475071,0.2811702312772831
92,"Jefferson County, Colorado",552608,129958,9114,5745,27030,25370,28683,26166,7850,422650,0.23517212924894318
93,"Larimer County, Colorado",328801,92824,3856,3242,15712,15644,15028,32664,6678,235977,0.2823105769143038
94,"Mesa County, Colorado",145122,35875,1499,1683,8410,6416,7873,8612,1382,109247,0.24720579925855488
95,"Pueblo County, Colorado",159883,38313,2259,2186,8826,7921,8565,7401,1155,121570,0.23963148052013034
96,"Weld County, Colorado",281915,83952,5718,3451,20324,15572,16887,19640,2360,197963,0.2977918876257028
97,"Fairfield County, Connecticut",912840,255201,16468,13377,48463,51214,59281,53026,13372,657639,0.27956816090443015
98,"Hartford County, Connecticut",864715,223444,15283,8582,41518,45629,48984,49847,13601,641271,0.25840190120444306
99,"Litchfield County, Connecticut",177631,39280,2153,1399,6662,9562,9036,8574,1894,138351,0.22113257258023655
100,"Middlesex County, Connecticut",158799,39628,1814,1531,5567,8424,8034,11810,2448,119171,0.2495481709582554
101,"New Haven County, Connecticut",832287,217539,12678,10483,36873,43478,44662,53598,15767,614748,0.2613749824279365
102,"New London County, Connecticut",262054,62036,4656,2849,12112,12612,13370,14082,2355,200018,0.23672983430895922
103,"Tolland County, Connecticut",147771,48457,2942,1395,5786,6031,6549,23009,2745,99314,0.3279195511974609
104,"Windham County, Connecticut",112954,29170,1626,1602,4683,5340,6018,8958,943,83784,0.2582467199036776
105,"Kent County, Delaware",166967,44884,2527,2853,8732,8769,9170,11231,1602,122083,0.2688195871040385
106,"New Castle County, Delaware",539984,141766,10070,7177,24706,30398,27721,32537,9157,398218,0.26253740851580787
107,"Sussex County, Delaware",212268,40574,1700,2081,9421,8321,10866,6636,1549,171694,0.1911451561233912
108,"District of Columbia, District of Columbia",654704,168430,14755,7772,27189,20535,24084,45431,28664,486274,0.2572612967081307
109,"Alachua County, Florida",253962,90770,4134,1474,12023,8606,9472,43992,11069,163192,0.3574156763610304
110,"Bay County, Florida",175874,41405,2193,1959,11051,6249,8958,9879,1116,134469,0.23542422416047853
111,"Brevard County, Florida",563002,124695,8803,6796,21839,24499,27745,28558,6455,438307,0.22148233931673422
112,"Broward County, Florida",1843920,471956,29348,22146,86797,95117,100798,109967,27783,1371964,0.25595253590177447
113,"Charlotte County, Florida",175897,27418,1397,888,5091,5487,6752,7331,472,148479,0.15587531339363378
114,"Citrus County, Florida",140556,19849,1337,1147,4103,5216,5486,1738,822,120707,0.14121773527988846
115,"Clay County, Florida",201908,54795,2193,2937,12153,11827,11172,11624,2889,147113,0.2713859777720546
116,"Collier County, Florida",355095,65401,3300,3527,13980,14464,15397,12691,2042,289694,0.18417888170771202
117,"Columbia County, Florida",67013,13704,1505,637,3996,2539,3264,1404,359,53309,0.20449763478728009
118,"Duval County, Florida",886693,231605,15234,11179,49229,43166,44859,54737,13201,655088,0.26120088914652534
119,"Escambia County, Florida",303882,80963,4074,3037,14654,16223,15456,23731,3788,222919,0.26642907444336944
120,"Flagler County, Florida",106278,20913,599,1110,3580,3609,7108,4477,430,85365,0.19677637893072886
121,"Hernando County, Florida",178219,36294,1657,1324,8399,8031,8591,6651,1641,141925,0.20364832032499341
122,"Highlands County, Florida",98237,16979,768,1133,5075,3863,3189,2575,376,81258,0.1728371183973452
123,"Hillsborough County, Florida",1321324,353007,21987,18502,69994,69492,71495,83036,18501,968317,0.26716157429971754
124,"Indian River County, Florida",148860,29202,1734,1082,5271,6757,8285,5196,877,119658,0.1961708988311165
125,"Lake County, Florida",325357,65805,2925,4069,12730,17539,16046,10194,2302,259552,0.20225475400867354
126,"Lee County, Florida",700892,141077,7554,6569,26296,35136,28373,31658,5491,559815,0.2012820805487864
127,"Leon County, Florida",278674,103453,5329,3262,10868,13471,11028,49008,10487,175221,0.371233053675621
128,"Manatee County, Florida",364188,73450,3877,5631,14673,15795,16098,14928,2448,290738,0.20168154909003042
129,"Marion County, Florida",338680,64613,2473,2893,14521,15530,15513,11806,1877,274067,0.19077890634227
130,"Martin County, Florida",154536,28452,1641,1113,6266,5697,7496,5204,1035,126084,0.1841124398198478
131,"Miami-Dade County, Florida",2617135,646455,44296,34247,119515,119519,128092,163882,36904,1970680,0.247008656412451
132,"Monroe County, Florida",76961,14417,1077,591,2362,2591,4270,3130,396,62544,0.18732864697704033
133,"Nassau County, Florida",78583,16270,1289,614,4513,3252,3748,2364,490,62313,0.20704223559803012
134,"Okaloosa County, Florida",191636,45782,3173,2849,8639,9374,9672,9657,2418,145854,0.23890083282890479
135,"Orange County, Florida",1265040,365058,22032,16213,67059,64672,64646,105656,24780,899982,0.28857427433124644
136,"Osceola County, Florida",323634,79510,4215,4411,16147,18157,19571,13959,3050,244124,0.24567876057521768
137,"Palm Beach County, Florida",1399821,316546,20860,14583,63750,60642,70975,69550,16186,1083275,0.22613319845894583
138,"Pasco County, Florida",495995,105836,6084,5174,23455,23810,24595,19598,3120,390159,0.21338118327805725
139,"Pinellas County, Florida",935587,182011,11119,9601,32233,35521,39229,42761,11547,753576,0.1945420361762188
140,"Polk County, Florida",642052,154061,8293,9053,32576,33443,35401,31390,3905,487991,0.2399509697033885
141,"Putnam County, Florida",70124,15907,776,676,3925,3962,3648,1921,999,54217,0.2268410244709372
142,"St. Johns County, Florida",228929,59625,4583,3168,10512,14626,13371,11408,1957,169304,0.2604519305112065
143,"St. Lucie County, Florida",298534,66413,3376,3650,14576,12746,16268,12798,2999,232121,0.22246377297058292
144,"Santa Rosa County, Florida",165460,40630,3065,1403,8967,9029,9542,5968,2656,124830,0.2455578387525686
145,"Sarasota County, Florida",404737,66131,2607,2940,14084,15084,16238,13192,1986,338606,0.16339252403412585
146,"Seminole County, Florida",441213,116422,7399,5535,23465,19425,23961,32394,4243,324791,0.2638680183947436
147,"Sumter County, Florida",122578,9611,319,164,1890,2421,2438,2279,100,112967,0.07840721826102563
148,"Volusia County, Florida",515379,114213,5825,5604,21286,20130,23784,30810,6774,401166,0.2216097279865885
149,"Walton County, Florida",64417,14145,1177,158,1521,4621,3604,2442,622,50272,0.2195848921868451
150,"Barrow County, Georgia",74083,21526,1519,1086,5593,4566,4791,3452,519,52557,0.29056598679859075
151,"Bartow County, Georgia",99246,22980,436,1772,7435,5550,4352,3190,245,76266,0.23154585575237288
152,"Bibb County, Georgia",146181,40570,2485,2235,8404,7876,8194,9183,2193,105611,0.27753264788173565
153,"Bulloch County, Georgia",72100,29128,687,678,3194,3535,4265,15382,1387,42972,0.40399445214979196
154,"Carroll County, Georgia",112916,35256,1622,1576,4832,7702,7359,11509,656,77660,0.31223210173934607
155,"Catoosa County, Georgia",64059,15515,803,737,3190,3813,3462,3003,507,48544,0.2421985981673145
156,"Chatham County, Georgia",276829,80893,5471,3350,14704,13177,13228,24152,6811,195936,0.2922128823208551
157,"Cherokee County, Georgia",233160,63222,5303,1970,14266,15216,14463,10730,1274,169938,0.2711528564076171
158,"Clarke County, Georgia",118745,45919,1536,2163,4092,4129,3117,24285,6597,72826,0.3867025980041265
159,"Clayton County, Georgia",266120,80752,6022,4168,18097,16473,16972,15845,3175,185368,0.30344205621524123
160,"Cobb County, Georgia",717291,202106,14233,11028,39456,40643,40135,46157,10454,515185,0.28176291072939713
161,"Columbia County, Georgia",141149,37179,1947,2828,7588,7952,8916,6586,1362,103970,0.26340250373718554
162,"Coweta County, Georgia",135505,35749,2018,1712,8267,8917,8744,5287,804,99756,0.26382052322792515
163,"DeKalb County, Georgia",709575,195151,14342,9693,40598,37757,36559,40773,15429,514424,0.27502519113553886
164,"Dougherty County, Georgia",86479,27789,1773,684,4489,6049,5753,8119,922,58690,0.3213381283317337
165,"Douglas County, Georgia",136633,38324,1971,2694,8051,8796,9258,6122,1432,98309,0.2804886081693295
166,"Fayette County, Georgia",108908,28621,1473,1145,6090,7151,7530,4072,1160,80287,0.2627997943218129
167,"Floyd County, Georgia",94165,25586,1284,1697,3807,6322,5979,5761,736,68579,0.27171454362024106
168,"Forsyth County, Georgia",213677,65189,5528,2960,14253,15982,14739,9952,1775,148488,0.3050819695147349
169,"Fulton County, Georgia",985405,275442,17758,14424,48864,53094,52828,65399,23075,709963,0.27952161801492786
170,"Glynn County, Georgia",81795,19194,1584,1495,5037,4030,3912,2533,603,62601,0.23465982028241336
171,"Gwinnett County, Georgia",872484,262249,14577,11158,55361,61241,62266,46045,11601,610235,0.3005774317924455
172,"Hall County, Georgia",189083,50158,2429,2443,12385,11982,10756,8933,1230,138925,0.2652697492635509
173,"Henry County, Georgia",214787,62699,3645,3528,12481,14535,16910,9792,1808,152088,0.29191245280207834
174,"Houston County, Georgia",146026,45863,3026,3540,9007,8786,7625,11066,2813,100163,0.3140742059633216
175,"Liberty County, Georgia",58833,20804,1131,1074,3229,4801,3651,5687,1231,38029,0.3536110686179525
176,"Lowndes County, Georgia",109320,34118,1541,1099,7121,5705,5540,11693,1419,75202,0.3120929381631906
177,"Muscogee County, Georgia",189423,55276,4244,2280,11397,10714,10560,11933,4148,134147,0.29181250428934186
178,"Newton County, Georgia",102597,29832,1829,1163,8149,5900,6321,6140,330,72765,0.2907687359279511
179,"Paulding County, Georgia",149299,42288,1209,2184,9264,10861,10022,7754,994,107011,0.2832436921881593
180,"Richmond County, Georgia",193988,53421,3080,2062,11797,10132,10106,12473,3771,140567,0.27538301338227106
181,"Rockdale County, Georgia",85741,25390,465,751,6550,4466,6321,5664,1173,60351,0.2961243745699257
182,"Troup County, Georgia",67344,17763,2225,887,3518,4576,4405,2024,128,49581,0.26376514611546686
183,"Walker County, Georgia",65585,15921,1807,939,3253,2844,4495,2384,199,49664,0.24275367843256843
184,"Walton County, Georgia",87212,24577,1596,881,5815,5074,6082,4079,1050,62635,0.2818075494198046
185,"Whitfield County, Georgia",100636,28867,1807,1260,7001,6334,7045,5115,305,71769,0.28684566159227315
186,"Hawaii County, Hawaii",192048,42691,2544,2386,9842,9021,8983,7990,1925,149357,0.22229338498708656
187,"Honolulu County, Hawaii",954072,241926,17746,11220,40135,47257,45109,65024,15435,712146,0.2535720574547833
188,"Kauai County, Hawaii",69165,13873,1182,650,3329,3509,2610,2221,372,55292,0.20057832718860696
189,"Maui County, Hawaii",159502,33036,2156,1989,7746,7917,6299,5514,1415,126466,0.20711965994156814
190,"Ada County, Idaho",429407,121205,7900,4681,25344,25477,24315,27720,5768,308202,0.28226135111910144
191,"Bannock County, Idaho",81059,26963,1480,1233,4550,5025,5356,7043,2276,54096,0.3326342540618562
192,"Bonneville County, Idaho",107257,33389,2211,3049,7451,8215,7208,4131,1124,73868,0.31129902943397636
193,"Canyon County, Idaho",202514,58543,1799,4039,13990,13705,12728,10703,1579,143971,0.2890812487037933
194,"Kootenai County, Idaho",148125,35759,1676,1366,9116,7130,8377,6231,1863,112366,0.241410970464135
195,"Twin Falls County, Idaho",79614,21623,1424,1044,5089,5086,4571,4069,340,57991,0.2715979601577612
196,"Adams County, Illinois",64070,14351,1226,906,3327,3465,3253,1777,397,49719,0.22398938660839707
197,"Champaign County, Illinois",201819,79164,3310,2452,8888,8585,7543,36901,11485,122655,0.3922524638413628
198,"Cook County, Illinois",5006199,1312556,94618,67486,252560,256296,264642,273808,103146,3693643,0.2621861416216175
199,"DeKalb County, Illinois",100934,36037,1477,869,6012,4636,6430,14315,2298,64897,0.35703529038777815
200,"DuPage County, Illinois",896733,242453,17768,11668,50112,46620,51216,49697,15372,654280,0.2703736786758154
201,"Kane County, Illinois",512336,148648,9860,8141,27175,34734,36689,26744,5305,363688,0.29013772211985883
202,"Kankakee County, Illinois",106125,29557,2097,1811,5708,6082,5942,7159,758,76568,0.27851118963486454
203,"Kendall County, Illinois",120167,35566,2698,950,8478,9619,7418,5454,949,84601,0.295971439746353
204,"Lake County, Illinois",679919,192576,12024,7904,39737,43269,45657,34209,9776,487343,0.28323373813645447
205,"LaSalle County, Illinois",106978,24334,1821,2153,4611,4934,6708,3445,662,82644,0.22746732973134665
206,"McHenry County, Illinois",297569,80825,4756,2764,17938,18919,19937,12534,3977,216744,0.2716176752282664
207,"McLean County, Illinois",166500,55664,2175,2147,9448,7661,9126,21051,4056,110836,0.3343183183183183
208,"Macon County, Illinois",102422,24471,2121,1455,4888,5519,5264,4594,630,77951,0.2389232782019488
209,"Madison County, Illinois",258225,67986,5385,2163,13730,13620,12451,17088,3549,190239,0.2632820214928841
210,"Peoria County, Illinois",177050,49365,4060,2326,10732,8668,9597,11876,2106,127685,0.27881954250211805
211,"Rock Island County, Illinois",138787,32972,1868,1964,7204,7126,6873,7377,560,105815,0.2375726833204839
212,"St. Clair County, Illinois",252571,64554,3840,3710,15079,12572,13756,12222,3375,188017,0.2555875377616591
213,"Sangamon County, Illinois",191287,50534,3781,2809,10167,10060,10630,9945,3142,140753,0.26417895622807613
214,"Tazewell County, Illinois",129977,31222,2363,1559,7015,6117,7546,5677,945,98755,0.24021172976757427
215,"Vermilion County, Illinois",75009,18766,1051,908,4174,4065,4581,3460,527,56243,0.250183311335973
216,"Will County, Illinois",664864,193673,10966,8293,40047,43505,47241,35810,7811,471191,0.29129716754103097
217,"Williamson County, Illinois",64923,13803,901,693,2482,4078,3059,2080,510,51120,0.2126057021394575
218,"Winnebago County, Illinois",275326,70503,4742,3801,15477,14441,15949,12580,3513,204823,0.25607098494148756
219,"Allen County, Indiana",354345,94907,6277,4627,20467,20322,21539,19196,2479,259438,0.2678378416514978
220,"Bartholomew County, Indiana",78659,20555,1520,974,4508,3180,5939,3341,1093,58104,0.26131784029799515
221,"Clark County, Indiana",111586,28284,1731,1354,7524,4895,6223,5542,1015,83302,0.25347265786030504
222,"Delaware County, Indiana",111717,35669,561,1719,4302,4532,5467,16918,2170,76048,0.31927996634352873
223,"Elkhart County, Indiana",195204,50909,3259,3858,12786,12568,12267,5218,953,144295,0.26079895903772465
224,"Floyd County, Indiana",74306,19191,1449,641,4272,4251,4329,3517,732,55115,0.2582698570774904
225,"Grant County, Indiana",65575,17532,1922,773,2692,3072,2886,5718,469,48043,0.26735798703774305
226,"Hamilton County, Indiana",303720,86521,6190,4256,19545,20957,21015,10791,3767,217199,0.2848709337547741
227,"Hancock County, Indiana",70980,17418,745,1611,3735,3496,4728,2521,582,53562,0.24539306846999154
228,"Hendricks County, Indiana",154387,41597,3264,1511,8755,10107,10779,5851,1330,112790,0.2694333072085085
229,"Howard County, Indiana",79949,19764,1359,837,4328,4870,4503,3426,441,60185,0.2472075948417116
230,"Johnson County, Indiana",147231,38877,2638,3995,9178,6453,8259,7055,1299,108354,0.2640544450557287
231,"Kosciusko County, Indiana",76008,17468,1087,1385,3908,4379,4053,2060,596,58540,0.2298179139037996
232,"Lake County, Indiana",468180,118526,6521,5040,28900,25596,28259,19008,5202,349654,0.25316331325558544
233,"LaPorte County, Indiana",106828,22843,1158,1191,4806,6174,6371,2778,365,83985,0.21382970756730446
234,"Madison County, Indiana",124745,29503,1646,1875,6196,6971,6129,6243,443,95242,0.23650647320533888
235,"Marion County, Indiana",898979,244941,17311,15489,53925,49281,48791,47547,12597,654038,0.27246576393886845
236,"Monroe County, Indiana",142700,58765,3736,959,4843,4846,4774,32950,6657,83935,0.41180798878766645
237,"Morgan County, Indiana",67539,15456,1136,733,3606,3556,4309,2007,109,52083,0.22884555590103495
238,"Porter County, Indiana",162772,41808,1966,2617,9023,8787,8788,9084,1543,120964,0.25685007249404074
239,"St. Joseph County, Indiana",258490,73377,3844,3681,13875,16242,14168,16795,4772,185113,0.2838678478857983
240,"Tippecanoe County, Indiana",180850,71898,3128,2215,9288,7942,6226,34978,8121,108952,0.39755598562344485
241,"Vanderburgh County, Indiana",175467,44125,2147,1836,9488,8701,8701,11747,1505,131342,0.2514717867177304
242,"Vigo County, Indiana",104404,30363,1318,1181,6077,4220,4440,10735,2392,74041,0.29082219072066207
243,"Wayne County, Indiana",64856,14742,1281,917,3239,2866,2874,3306,259,50114,0.22730356482052547
244,"Black Hawk County, Iowa",128168,36661,1340,2007,6878,5581,5086,13453,2316,91507,0.28603863678921415
245,"Dallas County, Iowa",80693,23845,2483,1609,5641,5253,4371,2744,1744,56848,0.2955027077937368
246,"Dubuque County, Iowa",93136,25254,2485,1149,4524,5272,4797,6265,762,67882,0.2711518639409036
247,"Johnson County, Iowa",140739,55029,2105,1205,7393,6040,5745,25282,7259,85710,0.39100036237290303
248,"Linn County, Iowa",212275,53671,3294,3480,11126,12179,10540,10546,2506,158604,0.25283712165822636
249,"Polk County, Iowa",454313,122340,9965,6876,26340,25484,25687,22224,5764,331973,0.2692857127134817
250,"Pottawattamie County, Iowa",90277,23191,1317,1441,4214,5353,5392,4124,1350,67086,0.2568871362584047
251,"Scott County, Iowa",165617,43684,3097,2805,9134,9263,8686,8419,2280,121933,0.2637651931866898
252,"Story County, Iowa",94562,44208,709,809,3550,3719,3775,26603,5043,50354,0.4675028023941964
253,"Woodbury County, Iowa",97956,27934,1904,625,6175,5708,5928,6858,736,70022,0.2851688513210013
254,"Butler County, Kansas",64804,18655,683,1294,3097,4657,3837,4225,862,46149,0.2878680328374792
255,"Douglas County, Kansas",115600,43452,2853,937,4076,4520,5137,21627,4302,72148,0.37588235294117645
256,"Johnson County, Kansas",562453,154028,12020,8263,31219,33652,33430,24265,11179,408425,0.2738504372809817
257,"Leavenworth County, Kansas",76615,21446,988,1592,4152,4291,4604,3826,1993,55169,0.2799190758989754
258,"Riley County, Kansas",70040,28761,1113,522,2514,1703,1752,17759,3398,41279,0.41063677898343803
259,"Sedgwick County, Kansas",490881,139506,9240,6682,31277,28487,30211,26143,7466,351375,0.28419515116698346
260,"Shawnee County, Kansas",171743,41732,3309,2298,9679,9031,8778,6660,1977,130011,0.24299098070954858
261,"Wyandotte County, Kansas",155531,42409,2178,1827,10000,11599,9146,6029,1630,113122,0.2726723289890761
