,Label,Total,Enrolled in school,"Enrolled in nursery school, preschool",Enrolled in kindergarten,Enrolled in grade 1 to 4,Enrolled in grade 5 to 8,Enrolled in grade 9 to 12,"Enrolled in college, undergraduate years",Graduate or professional school,Not enrolled in school,Educational ratio
0,"Baldwin County, Alabama",202654,46501,2536,2258,10539,11314,10553,8141,1160,156153,0.22946006493826918
1,"Calhoun County, Alabama",110492,27731,1090,1370,5861,5901,6019,6738,752,82761,0.2509774463309561
2,"Cullman County, Alabama",79650,16327,835,859,2867,4361,4582,2516,307,63323,0.20498430634023854
3,"DeKalb County, Alabama",68766,16746,668,330,4039,4707,3837,3065,100,52020,0.24352150772183928
4,"Elmore County, Alabama",79235,19024,914,745,4773,4370,4315,3247,660,60211,0.24009591720830442
5,"Etowah County, Alabama",99148,23405,932,398,6255,5153,5730,4703,234,75743,0.2360612417799653
6,"Houston County, Alabama",100144,24574,1125,1497,5822,5515,5711,4005,899,75570,0.2453866432337434
7,"Jefferson County, Alabama",633429,165030,10982,9591,34846,31903,33168,35036,9504,468399,0.2605343298143912
8,"Lauderdale County, Alabama",89431,22198,879,972,4144,4035,4320,7319,529,67233,0.2482137066565285
9,"Lee County, Alabama",153304,54489,2277,2204,7664,7875,6543,23105,4821,98815,0.35543103898137035
10,"Limestone County, Alabama",89802,22571,733,371,4423,5534,6556,4264,690,67231,0.25134184093895456
11,"Madison County, Alabama",344834,94105,5095,4999,16933,18196,17063,26613,5206,250729,0.27289942407071227
12,"Marshall County, Alabama",91414,22513,1651,1421,5324,5336,5326,3018,437,68901,0.24627518760802503
13,"Mobile County, Alabama",398315,100867,6458,4806,23637,20378,22993,18058,4537,297448,0.2532342492750712
14,"Montgomery County, Alabama",217720,57807,4170,4387,12403,9546,11075,13907,2319,159913,0.2655107477494029
15,"Morgan County, Alabama",115411,26568,1673,1821,6137,5731,6687,3709,810,88843,0.2302033601649756
16,"St. Clair County, Alabama",84854,19381,2017,1000,4253,4040,4377,2851,843,65473,0.22840408230607867
17,"Shelby County, Alabama",203284,56285,2904,2722,9935,13408,13477,11002,2837,146999,0.2768786525255308
18,"Talladega County, Alabama",77329,17852,882,1436,4774,3338,4360,2848,214,59477,0.23085776358158
19,"Tuscaloosa County, Alabama",198481,61158,1883,2965,9227,10049,8624,23615,4795,137323,0.3081302492430006
20,"Walker County, Alabama",62683,13832,447,988,3585,2490,3257,2878,187,48851,0.22066589027327985
21,"Anchorage Municipality, Alaska",284706,77178,3538,3241,15541,15214,16757,18657,4230,207528,0.2710796400497355
22,"Fairbanks North Star Borough, Alaska",96121,27192,1272,1187,6279,5168,4658,6947,1681,68929,0.2828934363978735
23,"Matanuska-Susitna Borough, Alaska",100281,27344,1602,1143,6391,7069,6606,3790,743,72937,0.2726737866594868
24,"Apache County, Arizona",70304,21624,1079,1311,4783,5245,5643,3308,255,48680,0.3075785161583978
25,"Cochise County, Arizona",120615,27895,1229,1542,6490,6236,6494,5175,729,92720,0.23127305890643785
26,"Coconino County, Arizona",136047,50109,1781,1068,6264,7248,7113,24600,2035,85938,0.36832124192374693
27,"Maricopa County, Arizona",4083018,1092603,55844,57397,231756,229475,238998,224576,54557,2990415,0.2675969099327997
28,"Mohave County, Arizona",200438,38005,2726,2192,8204,9187,9589,4986,1121,162433,0.18960975463734422
29,"Navajo County, Arizona",105459,28619,1366,1799,7566,7077,7660,2551,600,76840,0.2713756056856219
30,"Pima County, Arizona",982197,268380,12159,12550,46558,50251,53456,79675,13731,713817,0.27324457313553185
31,"Pinal County, Arizona",403577,97196,4172,4050,26337,21906,21094,16754,2883,306381,0.24083632119768966
