,Label,Total,Enrolled in school,"Enrolled in nursery school, preschool",Enrolled in kindergarten,Enrolled in grade 1 to 4,Enrolled in grade 5 to 8,Enrolled in grade 9 to 12,"Enrolled in college, undergraduate years",Graduate or professional school,Not enrolled in school,Educational ratio
0,"Baldwin County, Alabama",198972,44872,3232,1876,11624,10204,10350,6264,1322,154100,0.2255191685262248
1,"Calhoun County, Alabama",111569,27912,1966,2090,4676,6509,5815,6154,702,83657,0.2501770204985256
2,"Cullman County, Alabama",78671,16371,276,674,3582,4675,3877,3119,168,62300,0.20809446937244983
3,"DeKalb County, Alabama",68262,15745,309,1485,4195,3684,4499,1495,78,52517,0.23065541589757113
4,"Elmore County, Alabama",78832,18729,1475,756,3558,4689,4657,2716,878,60103,0.2375811853054597
5,"Etowah County, Alabama",99881,22330,1303,1586,4141,5864,4975,3876,585,77551,0.22356604359187432
6,"Houston County, Alabama",100683,24582,1246,1240,5588,5864,5581,4344,719,76101,0.24415243884270432
7,"Jefferson County, Alabama",636824,164242,12828,10222,33011,32416,32832,34759,8174,472582,0.2579079934173335
8,"Lauderdale County, Alabama",89521,21523,1286,840,4373,3725,3805,7084,410,67998,0.24042403458406408
9,"Lee County, Alabama",152084,53689,1908,2439,7106,7337,7520,23416,3963,98395,0.35302201415007495
10,"Limestone County, Alabama",89133,23913,953,938,5205,4537,6560,5108,612,65220,0.26828447376392583
11,"Madison County, Alabama",340031,91127,5221,3937,17915,17770,19150,21679,5455,248904,0.26799615329190574
12,"Marshall County, Alabama",91004,23688,1104,1042,5606,5708,5784,4294,150,67316,0.26029625071425433
13,"Mobile County, Alabama",399090,103740,6440,6094,21699,20466,23883,20202,4956,295350,0.25994136660903555
14,"Montgomery County, Alabama",217438,58931,2516,3860,12931,11509,11300,13027,3788,158507,0.27102438396232487
15,"Morgan County, Alabama",114616,26710,1343,2227,6087,5447,7225,3718,663,87906,0.2330390172401759
16,"St. Clair County, Alabama",83737,19261,624,1441,4501,4938,4790,2694,273,64476,0.23001779380679988
17,"Shelby County, Alabama",201951,56301,3460,2647,12956,10561,12235,12001,2441,145650,0.27878544795519705
18,"Talladega County, Alabama",78176,18250,1180,981,4183,4030,5098,2542,236,59926,0.2334476054031928
19,"Tuscaloosa County, Alabama",196535,60787,1922,1631,8921,9701,9109,26683,2820,135748,0.30929351006182104
20,"Walker County, Alabama",62895,13872,591,547,3594,2564,3622,2510,444,49023,0.22055807297877414
21,"Anchorage Municipality, Alaska",284581,78116,4583,3591,14181,12902,16486,21185,5188,206465,0.2744947835589867
22,"Fairbanks North Star Borough, Alaska",94813,28491,449,1356,5047,5374,5505,8504,2256,66322,0.300496767320937
23,"Matanuska-Susitna Borough, Alaska",96683,26216,1008,1752,5819,6267,6804,3996,570,70467,0.27115418429299876
24,"Apache County, Arizona",68235,19731,1283,1132,4794,5041,4548,2773,160,48504,0.2891624532864366
25,"Cochise County, Arizona",121585,27003,1155,2079,5478,5743,6826,4758,964,94582,0.22209154089731464
26,"Coconino County, Arizona",134749,48026,2542,2030,6313,5564,6352,23010,2215,86723,0.35641080824347493
27,"Maricopa County, Arizona",4008423,1095348,49414,52576,238054,231017,235708,239166,49413,2913075,0.27326157942911716
28,"Mohave County, Arizona",199285,36061,2355,1376,9495,8737,8531,5290,277,163224,0.18095190305341596
