,o_state_name,d_state_name,n
215,California,Hawaii,9823
216,California,Idaho,8884
217,California,Illinois,11856
218,California,Indiana,4651
219,California,Iowa,3038
220,California,Kansas,3928
221,California,Kentucky,2728
222,California,Louisiana,5270
223,California,Maine,637
224,California,Maryland,2846
225,California,Massachusetts,8318
226,California,Michigan,5032
227,California,Minnesota,4743
228,California,Mississippi,1961
229,California,Missouri,8856
230,California,Montana,4258
231,California,Nebraska,3212
232,California,Nevada,48410
233,California,New Hampshire,839
234,California,New Jersey,3136
235,California,New Mexico,5506
236,California,New York,30934
237,California,North Carolina,12532
238,California,North Dakota,2370
239,California,Ohio,6736
240,California,Oklahoma,7993
241,California,Oregon,36318
242,California,Pennsylvania,7275
243,California,Rhode Island,842
244,California,South Carolina,3248
245,California,South Dakota,1298
246,California,Tennessee,9088
247,California,Texas,57066
248,California,Utah,19296
249,California,Vermont,530
250,California,Virginia,7980
251,California,Washington,40425
252,California,West Virginia,497
253,California,Wisconsin,3799
254,California,Wyoming,2222
255,Colorado,Alabama,798
256,Colorado,Alaska,1069
257,Colorado,Arizona,5871
258,Colorado,Arkansas,828
259,Colorado,California,15861
260,Colorado,Colorado,357252
261,Colorado,Connecticut,444
262,Colorado,DC,2511
263,Colorado,Delaware,146
264,Colorado,Florida,4935
265,Colorado,Georgia,2308
266,Colorado,Hawaii,1170
267,Colorado,Idaho,1150
268,Colorado,Illinois,2866
269,Colorado,Indiana,1088
270,Colorado,Iowa,1120
271,Colorado,Kansas,2384
272,Colorado,Kentucky,582
273,Colorado,Louisiana,1047
274,Colorado,Maine,178
275,Colorado,Maryland,627
276,Colorado,Massachusetts,1400
277,Colorado,Michigan,1210
278,Colorado,Minnesota,1645
279,Colorado,Mississippi,402
280,Colorado,Missouri,2786
281,Colorado,Montana,1529
282,Colorado,Nebraska,2665
283,Colorado,Nevada,2359
284,Colorado,New Hampshire,223
285,Colorado,New Jersey,539
286,Colorado,New Mexico,3554
287,Colorado,New York,4316
288,Colorado,North Carolina,2554
289,Colorado,North Dakota,947
290,Colorado,Ohio,1504
291,Colorado,Oklahoma,2498
292,Colorado,Oregon,3176
293,Colorado,Pennsylvania,1594
294,Colorado,Rhode Island,175
295,Colorado,South Carolina,847
296,Colorado,South Dakota,790
297,Colorado,Tennessee,1874
298,Colorado,Texas,12620
299,Colorado,Utah,4399
300,Colorado,Vermont,171
301,Colorado,Virginia,1691
302,Colorado,Washington,5536
303,Colorado,West Virginia,155
304,Colorado,Wisconsin,1088
305,Colorado,Wyoming,3300
306,Connecticut,Alabama,428
307,Connecticut,Alaska,203
308,Connecticut,Arizona,1306
309,Connecticut,Arkansas,167
310,Connecticut,California,8795
311,Connecticut,Colorado,2887
312,Connecticut,Connecticut,260479
313,Connecticut,DC,4768
314,Connecticut,Delaware,345
315,Connecticut,Florida,9900
316,Connecticut,Georgia,2705
317,Connecticut,Hawaii,515
318,Connecticut,Idaho,124
319,Connecticut,Illinois,1928
320,Connecticut,Indiana,507
321,Connecticut,Iowa,178
322,Connecticut,Kansas,190
323,Connecticut,Kentucky,329
324,Connecticut,Louisiana,580
325,Connecticut,Maine,1246
326,Connecticut,Maryland,1232
327,Connecticut,Massachusetts,17363
328,Connecticut,Michigan,620
329,Connecticut,Minnesota,389
330,Connecticut,Mississippi,149
331,Connecticut,Missouri,512
332,Connecticut,Montana,219
333,Connecticut,Nebraska,142
334,Connecticut,Nevada,483
335,Connecticut,New Hampshire,1887
336,Connecticut,New Jersey,2364
337,Connecticut,New Mexico,252
338,Connecticut,New York,21485
339,Connecticut,North Carolina,4754
340,Connecticut,North Dakota,81
341,Connecticut,Ohio,1180
342,Connecticut,Oklahoma,350
343,Connecticut,Oregon,818
344,Connecticut,Pennsylvania,4307
345,Connecticut,Rhode Island,3097
346,Connecticut,South Carolina,1905
347,Connecticut,South Dakota,73
348,Connecticut,Tennessee,1192
349,Connecticut,Texas,3570
350,Connecticut,Utah,560
351,Connecticut,Vermont,1538
352,Connecticut,Virginia,2185
353,Connecticut,Washington,1526
354,Connecticut,West Virginia,123
355,Connecticut,Wisconsin,461
356,Connecticut,Wyoming,158
357,DC,Alabama,1022
358,DC,Alaska,325
359,DC,Arizona,1727
360,DC,Arkansas,340
361,DC,California,13223
362,DC,Colorado,3793
363,DC,Connecticut,910
364,DC,DC,328758
365,DC,Delaware,1718
366,DC,Florida,9304
367,DC,Georgia,5430
368,DC,Hawaii,830
369,DC,Idaho,256
370,DC,Illinois,2710
371,DC,Indiana,891
372,DC,Iowa,286
373,DC,Kansas,370
374,DC,Kentucky,782
375,DC,Louisiana,1200
376,DC,Maine,269
377,DC,Maryland,18732
378,DC,Massachusetts,3228
379,DC,Michigan,1101
380,DC,Minnesota,569
381,DC,Mississippi,364
382,DC,Missouri,1112
383,DC,Montana,281
384,DC,Nebraska,301
385,DC,Nevada,820
386,DC,New Hampshire,302
387,DC,New Jersey,1635
388,DC,New Mexico,468
389,DC,New York,12579
390,DC,North Carolina,10259
391,DC,North Dakota,167
392,DC,Ohio,2202
393,DC,Oklahoma,611
394,DC,Oregon,1096
395,DC,Pennsylvania,11594
396,DC,Rhode Island,351
397,DC,South Carolina,3068
398,DC,South Dakota,108
399,DC,Tennessee,2479
400,DC,Texas,6925
401,DC,Utah,1122
402,DC,Vermont,307
403,DC,Virginia,22868
404,DC,Washington,2670
405,DC,West Virginia,760
406,DC,Wisconsin,652
407,DC,Wyoming,175
408,Delaware,Alabama,179
409,Delaware,Alaska,65
410,Delaware,Arizona,347
411,Delaware,Arkansas,73
412,Delaware,California,1523
413,Delaware,Colorado,493
414,Delaware,Connecticut,217
415,Delaware,DC,2518
