,Unnamed: 0,state,employment_rate,destination_rate
0,0,Alabama,53.059740259740245,17.53096471035546
1,1,Alaska,60.64848484848485,37.14797664151636
2,2,Arizona,46.15363636363635,30.114199660137615
3,3,Arkansas,56.73140495867768,19.650426895855038
4,4,California,54.30545454545454,14.145430690821012
5,5,Colorado,62.9619834710744,40.74941413149659
6,6,Connecticut,62.01250000000002,17.653846397025816
7,7,Delaware,56.94545454545455,98.53567897446388
8,8,District of Columbia,61.44545454545453,39.965486701423444
9,9,Florida,49.77431818181819,24.02452388050348
10,10,Georgia,56.08525125201595,24.447945846094107
11,11,Hawaii,58.61363636363637,36.03414887765328
12,12,Idaho,58.98181818181819,31.158436154535206
13,13,Illinois,59.94110671936758,16.52313049272122
14,14,Indiana,58.43927272727274,16.027657174113706
15,15,Iowa,65.96454545454544,19.185627351221697
16,16,Kansas,60.49772727272728,24.782453702857353
17,17,Kentucky,56.71468531468531,18.456036138660664
18,18,Louisiana,56.58716577540108,15.9353502844679
19,19,Maine,59.131818181818176,19.093382841437556
20,20,Maryland,61.822159090909096,26.162500692789447
21,21,Massachusetts,61.08863636363637,25.41610727131089
22,22,Michigan,55.97617554858935,8.980153822670932
23,23,Minnesota,68.07451714951715,17.07262240145006
24,24,Mississippi,56.131818181818176,14.917899111587504
25,25,Missouri,60.68663101604277,19.17848606830618
26,26,Montana,62.39969696969697,32.313755612249565
27,27,Nebraska,68.71818181818182,21.369741112062254
28,28,Nevada,58.43181818181817,41.16410297167051
29,29,New Hampshire,63.84090909090908,26.2615481644223
30,30,New Jersey,59.90389610389611,14.745866379208387
31,31,New Mexico,52.25909090909091,26.328475185871113
32,32,New York,56.95034965034965,20.13962464053277
33,33,North Carolina,54.18973776223775,27.32985533589086
34,34,North Dakota,69.10984848484847,37.25592170582951
35,35,Ohio,57.20023923444976,11.314776586119008
36,36,Oklahoma,57.769421487603296,23.94426654307203
37,37,Oregon,53.4260606060606,30.09874835187283
38,38,Pennsylvania,56.69477272727274,13.793864429313944
39,39,Rhode Island,60.127272727272725,20.62996926030169
40,40,South Carolina,53.6952380952381,26.366735271417546
41,41,South Dakota,68.21363636363638,27.82364307043738
42,42,Tennessee,57.17636363636362,25.312781952900735
43,43,Texas,57.84020979020978,17.289936133568105
44,44,Utah,62.354545454545445,26.816148181675747
45,45,Vermont,66.49999999999999,28.354522237883252
46,46,Virginia,61.08363636363635,28.088968615769467
47,47,Washington,55.036363636363646,28.892823104529786
48,48,West Virginia,52.749350649350646,18.620089319506473
49,49,Wisconsin,64.28814229249012,15.28014893233702
50,50,Wyoming,64.68181818181817,39.53690178326078
51,51,Puerto Rico,41.85371900826446,0.0
