o_state_name,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,DC,Delaware,Florida,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming
Michigan,2792,1346,8069,1422,17972,9004,1018,6015,327,18536,9518,1180,546,20933,11890,1419,1258,3538,2057,325,1600,2714,876573,4104,1183,3834,1031,891,2977,354,1390,989,9012,9307,1344,15412,1908,2692,4423,345,3444,489,8507,16533,1704,295,4476,5669,494,9160,1156
Minnesota,463,982,3966,550,10495,6954,438,2294,150,4649,1995,660,409,6897,1347,5796,792,513,686,153,495,1502,1810,472152,323,2478,1551,1509,1187,150,461,544,4247,2247,12822,1423,871,2089,1271,157,662,5825,1586,6157,1124,173,1138,4043,98,12663,671
Mississippi,7287,257,689,1947,2563,1195,126,1051,74,4365,5356,266,79,1911,975,371,420,740,9006,42,279,274,856,555,258767,1420,125,300,489,46,126,230,923,1913,137,1026,854,357,649,58,802,95,12633,10588,273,28,1201,825,80,870,114
Missouri,1471,710,3918,7807,12408,8655,462,2994,167,8207,4476,893,517,16756,2876,3368,11188,1875,1948,146,777,1346,1731,2100,990,616791,586,2892,1518,185,598,866,4799,3720,568,2656,5777,1941,1878,174,1291,443,4820,16211,1568,118,2321,3634,186,1813,452
Montana,108,641,1186,124,2772,2196,66,337,22,655,326,260,1244,343,185,188,184,92,143,47,88,215,217,753,75,358,74021,235,770,48,58,270,510,426,2124,290,303,2208,283,17,153,438,343,1515,1203,33,318,5117,24,271,1546
Nebraska,248,219,1767,417,3187,5202,147,683,44,1590,765,224,241,1863,423,4519,2153,208,333,58,169,293,380,1497,151,4212,323,162583,533,47,126,253,988,850,382,531,824,689,427,42,286,1969,689,3948,465,45,533,1227,38,597,1234
Nevada,327,514,6293,517,19074,3186,184,764,68,2068,1062,900,1924,1298,645,415,493,327,507,82,250,449,739,634,230,1089,717,458,162866,97,278,955,1613,1070,491,1038,910,3229,799,81,359,222,888,5363,5856,53,669,4256,79,539,544
New Hampshire,164,194,772,110,3758,1753,1365,1519,120,3753,848,277,92,654,214,84,134,214,222,4861,392,14839,305,235,73,268,241,98,275,106395,511,177,3793,1900,58,542,214,568,1253,1001,761,38,628,1581,466,3441,972,882,65,236,113
New Jersey,579,234,2155,254,14062,3487,3447,9859,2088,19115,5957,693,129,2929,814,186,312,502,862,512,4371,7821,1124,646,203,813,206,187,924,700,504580,328,47739,9629,136,2153,423,955,31173,1134,3197,72,1850,6003,603,853,4800,1957,280,613,141
New Mexico,240,326,7816,404,4992,7088,127,679,45,1356,652,356,312,696,344,196,568,190,377,71,189,398,306,360,136,738,326,309,1123,65,112,137239,1098,751,221,490,1412,1165,477,51,272,160,535,16944,1335,52,501,1759,62,271,332
